"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"který být",4524
"uvedený v",2891
"podle odstavec",2832
"právní předpis",2034
"tento zákon",1830
"který se",1681
"rozhodnutí o",1670
"na území",1665
"nebo jiný",1659
"právnický osoba",1650
"v případ",1632
"český republika",1522
"zákon č",1396
"v odstavec",1329
"být povinen",1192
"ode den",1185
"správní orgán",1174
"na základ",1173
"návrh na",1134
"jenž být",1107
"správce daň",1098
"evropský unie",1089
"a ten",1074
"být v",1032
"odnětí svoboda",1018
"muset být",1017
"který mít",1003
"členský stát",996
"právo na",995
"moct být",964
"pokud být",947
"zvláštní právní",936
"trestný čin",930
"se použít",914
"o ten",890
"povolení k",852
"v znění",850
"řízení o",850
"v řízení",835
"podle zvláštní",827
"a o",807
"žádost o",795
"cenný papír",779
"ten platit",777
"valný hromada",748
"pro účel",741
"movitý věc",732
"v věc",729
"obchodní korporace",728
"za účel",725
"fyzický osoba",724
"výkon rozhodnutí",724
"nebo v",716
"v jenž",713
"insolvenční soud",706
"a v",683
"základ daň",681
"údaj o",679
"právní moc",676
"v který",673
"mít být",671
"podle tento",663
"pozdní předpis",650
"znění pozdní",647
"nebo b",643
"veřejný zakázka",634
"v doba",634
"že být",632
"insolvenční správce",622
"základní kapitál",609
"zákon o",608
"zdaňovací období",607
"daleko jen",598
"zadávací řízení",589
"právo a",585
"a být",585
"státní zástupce",572
"předseda senát",570
"po doba",568
"bez zbytečný",552
"mít právo",551
"s výjimka",548
"zbytečný odklad",546
"nebo být",541
"ustanovení o",541
"jiný právní",540
"v lhůta",537
"nástupnický společnost",535
"z důvod",533
"pobyt na",530
"jiný osoba",528
"on být",525
"v tento",524
"a jiný",523
"nárok na",522
"v rozsah",519
"jiný členský",518
"o změna",518
"podle zákon",515
"rozhodnout o",513
"že se",512
"stavební úřad",512
"insolvenční řízení",512
"jenž se",509
"svoboda na",493
"právní jednání",487
"společnost nebo",484
"daň z",484
"obchodní rejstřík",483
"některý z",480
"den ode",474
"takový čin",471
"se v",468
"nebo c",467
"na návrh",464
"k pobyt",462
"souvislost s",461
"být třeba",458
"stát evropský",454
"nebo jeho",449
"území český",443
"do obchodní",443
"čin uvedený",443
"k ten",440
"jakož i",440
"v souvislost",439
"smlouva o",436
"nebo na",432
"rozhodnutí soud",432
"příjem z",431
"se k",430
"za ten",429
"zástavní právo",428
"o vydání",427
"se pro",425
"účastník řízení",421
"trestní řízení",418
"být pachatel",417
"právo k",417
"pokud se",416
"se na",414
"který on",405
"rozpor s",400
"pachatel potrestat",399
"v rozpor",399
"lhůta pro",393
"na který",389
"soulad s",388
"doklad o",387
"trvalý pobyt",384
"k dlouhodobý",381
"z on",380
"majetkový podstata",380
"soud o",380
"třetí osoba",379
"spojený s",376
"týkající se",376
"tento osoba",376
"dohoda o",374
"pro který",373
"se považovat",370
"se za",368
"za podmínka",366
"nebo o",364
"v výše",363
"dojít k",363
"o povolení",362
"v soulad",357
"s on",357
"dlouhodobý pobyt",357
"moc rozhodnutí",356
"proti rozhodnutí",356
"v rámec",354
"se o",354
"být potrestat",352
"a povinnost",351
"ten být",344
"trestní stíhání",343
"zastupitelstvo obec",342
"odpočet daň",340
"jenž mít",334
"smět být",333
"daňový subjekt",330
"zahájení řízení",327
"zvláštní zákon",327
"oznámení o",326
"jestliže být",325
"den od",323
"a jeho",322
"být tento",321
"jít o",321
"k den",320
"použít obdobně",320
"kdy být",319
"pracovní poměr",318
"usnesení o",318
"se vztahovat",315
"kolektivní správce",314
"pozdě do",313
"považovat za",313
"z příjem",312
"podmínka pro",311
"na jeho",311
"rozhodnutí podle",310
"a na",310
"v průběh",310
"v jiný",310
"stanovený v",308
"ústavní soud",307
"nebo pro",306
"podíl na",304
"zdanitelný plnění",304
"i v",302
"který by",301
"daň podle",301
"příslušný orgán",301
"potrestat odnětí",298
"vliv na",298
"zpráva o",297
"se moct",297
"právní řád",296
"z den",296
"osoba uvedený",295
"podle jiný",294
"občan evropský",293
"na doba",293
"vlastnický právo",291
"tento rozhodnutí",291
"trest odnětí",290
"členský schůze",290
"v takový",290
"o zrušení",289
"osoba a",288
"na on",287
"kalendářní rok",286
"zúčastněný na",286
"nebo osoba",286
"a další",286
"obchodní společnost",285
"stanovit jinak",285
"nebo k",285
"s ten",284
"se rozumět",284
"daň v",283
"náhrada škoda",283
"i bez",283
"daňový přiznání",282
"první stupeň",281
"statutární orgán",279
"na náhrada",279
"k daň",279
"nebo družstvo",278
"výkon trest",276
"být oprávnit",276
"kdo být",276
"uzavření smlouva",275
"na žádost",275
"věta první",273
"hmotný majetek",272
"předběžný opatření",271
"právní forma",270
"v trestní",270
"o návrh",270
"osoba zúčastněný",269
"tento skutečnost",268
"až na",266
"v český",266
"léto být",265
"měsíc ode",264
"účel tento",263
"řízení v",263
"v jaký",260
"policejní orgán",260
"orgán veřejný",259
"cestovní doklad",259
"nebo d",259
"z tento",258
"společnost s",257
"životní prostředí",256
"osoba nebo",256
"škoda nebo",256
"od daň",255
"řízení podle",253
"jeden rok",253
"notářský zápis",252
"jeden z",252
"po uplynutí",252
"a který",250
"nebo on",249
"moct soud",247
"v veřejný",246
"při výkon",245
"být přípustný",245
"účetní závěrka",244
"být možný",244
"akciový společnost",243
"rozhodnutí nebo",242
"v tuzemsko",242
"tři léto",242
"být dotčen",241
"o tento",241
"řízení a",240
"k tento",240
"přípravný řízení",240
"územní rozvoj",239
"být cizinec",239
"v důsledek",239
"o on",239
"vyplývající z",239
"na tento",238
"jestliže se",238
"v on",238
"tento lhůta",237
"zákon nebo",237
"veřejný moc",235
"z jiný",235
"až do",234
"lhůta k",234
"ustanovení odstavec",234
"svoboda až",234
"se tento",234
"který moct",233
"a k",232
"řízení být",231
"plátce daň",229
"územní plán",229
"být k",229
"informační systém",229
"postup podle",229
"v rozhodnutí",228
"zápis do",228
"by být",226
"k výkon",226
"rodinný příslušník",225
"se řídit",225
"u jenž",225
"zákaz činnost",224
"dva léto",224
"v jehož",223
"zákon upravující",223
"kdy se",223
"reorganizační plán",222
"v obor",222
"takový případ",221
"řízení před",221
"nebo z",220
"do výše",220
"léto nebo",220
"podání žádost",219
"na odpočet",219
"k on",219
"který lze",219
"soud v",219
"nebo který",219
"aby se",218
"společnost a",218
"účastník zadávací",218
"podmínka stanovený",218
"k trvalý",217
"o jenž",217
"nabytí právní",217
"veřejný rejstřík",217
"zvýšení základní",217
"k jeho",217
"o jeho",217
"ten v",216
"místo a",216
"ustanovení tento",216
"vztah k",216
"zda být",216
"do veřejný",215
"v prospěch",214
"zúčastněný společnost",214
"úřední osoba",213
"insolvenční návrh",213
"pobyt za",213
"právo nebo",213
"osoba povinný",213
"trestní zákoník",213
"mít se",212
"daňový doklad",212
"pro jiný",211
"podle věta",210
"společenský smlouva",210
"doba trvání",210
"oprávnění k",209
"svěřenský fond",209
"uvést v",209
"změna některý",209
"o který",208
"dlouhý než",208
"platit obdobně",208
"v insolvenční",208
"od smlouva",207
"související s",207
"k podání",207
"organizační složka",207
"se on",206
"být předmět",206
"být na",206
"na dva",206
"jméno a",206
"platit i",205
"s ručení",205
"ručení omezený",205
"a jejich",205
"veřejnoprávní smlouva",204
"mezinárodní smlouva",204
"na jiný",204
"regulační plán",204
"důvod pro",204
"se jednat",204
"ohled na",203
"zákon stanovit",203
"použít se",202
"za který",202
"šest měsíc",202
"vydání rozhodnutí",201
"soud moct",201
"o udělení",200
"rozhodnutí v",200
"o úpadek",199
"povinný k",199
"nebo člen",199
"obecní úřad",199
"stanovený lhůta",198
"uplynutí lhůta",198
"před soud",197
"unie nebo",197
"a osoba",196
"tento právo",196
"a b",196
"měsíc od",196
"se přihlížet",195
"muset obsahovat",195
"činný v",194
"na zápis",194
"spolu s",194
"živnostenský úřad",193
"v stanovený",193
"nařízení výkon",193
"odkladný účinek",193
"rodný číslo",193
"na povolení",193
"zástupce nebo",192
"osoba s",192
"být vydat",192
"informace o",192
"vzhledem k",191
"a s",191
"v oblast",191
"aby on",191
"podmínka uvedený",190
"v zadávací",190
"společný jmění",190
"i na",189
"pro podání",189
"a způsob",189
"místo pobyt",189
"jednat o",189
"mzda nebo",188
"ten i",187
"smlouva nebo",187
"tento povinnost",187
"řízení nebo",187
"zákonný zástupce",187
"být podle",186
"se vyžadovat",186
"odvolací soud",185
"soud nebo",184
"soud rozhodnout",184
"průkaz o",184
"nebo s",183
"do doba",183
"jiný orgán",183
"dotčený orgán",183
"na účet",183
"orgán nebo",182
"osoba se",181
"pracovní doba",181
"být ten",181
"o zahájení",181
"v přípravný",181
"na jeden",180
"než být",180
"daňový povinnost",180
"soud a",179
"na ten",179
"k jenž",179
"bez návrh",179
"na zdraví",178
"soud první",178
"pracovní den",178
"z jenž",178
"osoba v",178
"u který",178
"i když",178
"o schválení",178
"orgán činný",178
"správní vyhoštění",177
"oprávněný osoba",177
"podání návrh",176
"který v",176
"lhůta podle",176
"veřejný listina",175
"a c",175
"zákon a",175
"být oprávněn",174
"schůze věřitel",174
"dodání zboží",173
"léto až",173
"povinnost podle",173
"zanikající společnost",173
"dozorčí rada",173
"jen tehdy",172
"být příslušný",172
"znění zákon",172
"a její",171
"kalendářní měsíc",171
"správa daň",171
"sazba daň",171
"veřejný seznam",171
"krajský úřad",171
"pro výkon",171
"i pro",171
"opravný prostředek",171
"náklad spojený",170
"písemný forma",170
"být pro",170
"na daň",170
"aby být",170
"závazný stanovisko",170
"výkon funkce",170
"pět léto",169
"o prohlášení",169
"nebo se",169
"na jenž",169
"nebo plat",169
"společník nebo",168
"pro sebe",168
"být daňový",168
"rozhodnutí být",168
"stanovený tento",168
"právní nástupce",168
"bezdůvodný obohacení",167
"prezident republika",167
"některý zákon",167
"sebe nebo",167
"z přidaný",167
"podat návrh",167
"požadavek na",167
"jestliže a",167
"oprava základ",167
"vztahovat na",166
"zaknihovaný cenný",166
"a rada",165
"výkon práce",165
"praxe v",165
"vydání povolení",165
"s souhlas",165
"jeho část",165
"přeshraniční přeměna",164
"adresa místo",164
"předpis evropský",164
"něco jiný",164
"doba platnost",164
"být účastník",164
"zastupitelský úřad",163
"přidaný hodnota",163
"občanský soudní",163
"v vztah",163
"správní rada",163
"podle písmeno",163
"moct se",163
"daň být",163
"prohlášení o",162
"identifikační číslo",162
"stát nebo",162
"že on",162
"popřípadě jméno",161
"věc a",161
"hlavní líčení",161
"s uvedení",161
"věřitelský výbor",161
"osoba oprávněný",161
"náklad na",161
"evropský parlament",160
"poskytnutí služba",160
"pro případ",160
"likvidační podstata",159
"velký rozsah",159
"den nabytí",159
"člen zastupitelstvo",159
"peněžní prostředek",158
"o přestupek",158
"se postupovat",158
"být podat",158
"léto od",158
"zákon jinak",157
"o zajištění",157
"v úmysl",157
"vrácení daň",157
"na svůj",157
"k změna",156
"náklad řízení",156
"u soud",156
"úrok z",156
"v obchodní",155
"náhrada náklad",155
"po který",155
"za mrtvý",155
"k zajištění",154
"odborový organizace",154
"být uvést",154
"moct podat",154
"parlament a",154
"pro vydání",153
"na místo",152
"přechodný pobyt",152
"veřejný zasedání",152
"o právo",151
"náhrada za",151
"územní rozhodnutí",151
"moct v",151
"osoba být",151
"osoba podle",150
"daň a",150
"on v",150
"činnost nebo",149
"s tento",149
"pobyt nad",149
"být součást",149
"zadávací dokumentace",149
"zvláštní ustanovení",149
"městský část",149
"převod jmění",149
"postupovat podle",148
"orgán a",148
"zásada územní",148
"na tři",147
"následující po",147
"nebo její",147
"rozhodovat o",147
"zástavní věřitel",147
"změna v",147
"rozdíl mezi",146
"důvod uvedený",146
"by moct",146
"trestný činnost",146
"věc v",146
"se týkat",145
"potvrzení o",145
"snížení základní",145
"a pro",145
"vstup na",144
"státní občanství",144
"změna právní",144
"písmeno a",144
"soud na",144
"a za",144
"územně plánovací",144
"o vina",144
"se ten",143
"že by",143
"být osoba",143
"nebo e",143
"za přestupek",143
"a doba",143
"soudní řád",143
"majetkový újma",143
"po skončení",143
"vkladový povinnost",142
"pravomocný rozhodnutí",142
"na životní",142
"k návrh",142
"městský obvod",142
"prováděcí právní",142
"se podle",142
"péče o",141
"z který",141
"jmenovitý hodnota",141
"s jiný",141
"věc nebo",141
"evropský hospodářský",140
"správní soud",140
"a místo",140
"dálkový přístup",139
"obnova řízení",139
"vysoký správní",139
"nebo za",139
"považovat se",138
"k který",138
"být a",138
"zboží nebo",137
"úřední deska",137
"výkon právo",137
"zákon rozumět",137
"být plátce",137
"před den",137
"datum narození",136
"o výkon",136
"nebo že",136
"být člen",136
"pohledávka z",136
"jehož obvod",135
"porušení povinnost",135
"jiný než",135
"jaký být",135
"účastnický cenný",135
"který vést",135
"kdo se",135
"pouze v",135
"z prodlení",135
"mít v",135
"republika a",134
"jiný zákon",134
"soud podle",134
"pokud jít",134
"do spis",134
"a právo",134
"nakládání s",134
"o nařízení",134
"být rozhodnout",133
"ústní jednání",133
"příslušný k",133
"daň se",133
"veřejný obchodní",133
"a ochrana",133
"stavební záměr",133
"peněžitý trest",132
"nabýt právní",132
"nebo jejich",132
"se stanovit",132
"tento doba",132
"znalecký posudek",132
"komanditní společnost",132
"místo plnění",132
"obchodní závod",132
"hotový výdaj",132
"cizinec na",131
"exekuční příkaz",131
"prohlášení konkurs",131
"na požádání",131
"nebo mít",131
"příslušník občan",131
"dopravní prostředek",131
"od doručení",131
"až po",131
"bezpečnost a",131
"újma na",131
"podle právní",131
"nebo rozhodnutí",131
"jen v",131
"katastrální úřad",131
"za platný",130
"se při",130
"před zahájení",130
"člen statutární",130
"pracovněprávní vztah",130
"pokud tento",130
"být z",129
"který vzniknout",129
"účast na",129
"o věc",129
"se s",129
"a trest",129
"v zahraničí",129
"hospodářský prostor",129
"každý z",129
"údaj podle",128
"se mít",128
"řízení se",128
"o správní",128
"a pokud",128
"z smlouva",128
"použít přiměřeně",128
"jiný stát",128
"splnění podmínka",128
"k žádost",128
"organizovaný skupina",128
"z území",128
"v ten",127
"přímo použitelný",127
"zahájení insolvenční",127
"veřejný správa",127
"do seznam",127
"občanský zákoník",127
"u poplatník",127
"se doručovat",127
"podle ustanovení",127
"jako by",127
"příloha č",126
"postup při",126
"být splnit",126
"nebo hodně",126
"i tehdy",126
"sídlo nebo",126
"stavební práce",126
"hlasovací právo",125
"tento údaj",125
"ochrana zdraví",125
"protokol o",125
"lhůta stanovený",125
"odvolání proti",125
"právní moct",125
"deset léto",124
"opatření k",124
"pobývat na",124
"svůj právo",124
"čin v",124
"s výkon",124
"tento ustanovení",124
"rok praxe",124
"napadený rozhodnutí",124
"nebo rozdělovaný",124
"zdravotní pojištění",124
"jiný obdobný",123
"mít odkladný",123
"obecná ustanovení",123
"potřebný k",123
"věc být",123
"že tento",123
"jen na",123
"den doručení",123
"předkupní právo",122
"nebo do",121
"a daleko",121
"služba v",121
"jiný způsob",121
"řízení s",121
"likvidační správce",121
"emisní kurs",121
"vina a",121
"veřejný pořádek",121
"svůj povinnost",121
"při práce",121
"přezkumný řízení",120
"místně příslušný",120
"majetek a",120
"co být",120
"plnění v",120
"a mít",120
"právo podle",120
"den po",120
"a tento",120
"majetkový právo",119
"bytový družstvo",119
"moct on",119
"návrh podle",119
"zadavatel moct",119
"vztahující se",119
"vysoký soud",119
"lze podat",119
"na úřední",119
"nebo zákaz",119
"práce v",119
"poslední den",118
"na zisk",118
"republika nebo",118
"doba dlouhý",118
"kontrolní komise",118
"veřejný zájem",118
"daleko stanovit",118
"hospodářský soutěž",118
"úhrada náklad",118
"usnesení valný",118
"povinnost k",117
"odborný způsobilost",117
"obecně prospěšný",117
"závažný způsob",117
"z výkon",117
"účast v",117
"kde se",117
"rozdělovaný společnost",117
"na vydání",117
"který tento",117
"se do",116
"o ochrana",116
"výzva k",116
"činnost v",116
"rozhodný pro",116
"příslušný soud",116
"podmínka podle",116
"směrnice rada",116
"o žádost",116
"samosprávný celek",116
"rámcový dohoda",116
"případ uvedený",116
"vlastník jednotka",115
"platit pro",115
"nebo obdobný",115
"k jejich",115
"zaměstnanec v",115
"zajištěný věřitel",115
"tento majetek",115
"v první",115
"výpis z",115
"s jeho",115
"souhlas s",115
"daňový ztráta",115
"modrý karta",115
"stanovený zákon",115
"právní poměr",114
"druhý strana",114
"pro řízení",114
"rozhodnutí se",114
"kolektivní správa",114
"o způsob",114
"společně a",114
"zaměstnanecký karta",114
"odpovědnost za",114
"poplatník uvedený",114
"předpis upravující",114
"pro tento",113
"území a",113
"rozhodování o",113
"na zahájení",113
"sleva na",113
"a z",113
"provozování živnost",113
"a rozdílně",112
"v cizina",112
"nebo majetkový",112
"vyjednávací výbor",112
"rejstříkový soud",112
"být trestný",112
"na jehož",112
"přestupek podle",112
"ministerstvo vnitro",112
"pokud ten",112
"k rozhodnutí",112
"pohledávka a",112
"o pozůstalost",112
"s ohled",112
"zaměstnanec nebo",112
"zaměstnavatel být",112
"projekt rozdělení",112
"na jejich",111
"poslanecký sněmovna",111
"právní úkon",111
"krátký než",111
"podíl v",111
"o prodloužení",111
"správní řád",111
"zahraniční osoba",111
"že a",111
"stanovení daň",111
"jen s",110
"pracovní cesta",110
"o jejich",110
"na šest",110
"v jeho",110
"jako člen",110
"před uplynutí",110
"rozsah a",109
"daň nebo",109
"vstupní cena",109
"prohlášení za",109
"který na",109
"obsahovat a",109
"elektronický podoba",109
"český národní",109
"orgán obec",109
"o její",109
"tři měsíc",109
"pokud on",109
"krajský soud",109
"zanikající nebo",109
"územní samosprávný",108
"splňovat podmínka",108
"projekt fúze",108
"zařízení akreditovaný",108
"nebo propadnutí",108
"úřad v",108
"činnost a",108
"daňový exekuce",108
"živnostenský oprávnění",108
"stanovený zvláštní",107
"rozhodnout v",107
"projekt přeměna",107
"k věc",107
"společně s",107
"služba nebo",107
"soud být",107
"mít za",107
"na veřejný",106
"mimo území",106
"hodně než",106
"zdraví při",106
"s sídlo",106
"povinnost mlčenlivost",106
"příspěvek na",106
"a příjmení",106
"věcný právo",106
"do jeden",105
"z manžel",105
"nabytí účinnost",105
"lze uplatnit",105
"zapsaný v",105
"přiměřený lhůta",105
"v písemný",105
"povinnost a",105
"po právní",105
"plnění z",105
"zvláštní režim",105
"až pět",105
"se podávat",104
"s právní",104
"mít sídlo",104
"osm léto",104
"při rozdělení",104
"těžký újma",104
"vydání bezdůvodný",104
"k provedení",104
"z evidence",104
"a jít",104
"pravidlo pro",103
"on moct",103
"do jiný",103
"přenesený působnost",103
"povinnost z",103
"změna a",103
"vlastní ruka",103
"věta druhý",103
"rozhodnutí a",103
"tvořící evropský",102
"ES z",102
"zabezpečovací detence",102
"rozhodný den",102
"práce a",102
"stát tvořící",102
"obchodní majetek",102
"příjem a",102
"na úhrada",102
"být při",102
"právo z",102
"státní správa",102
"pro jeho",102
"občan český",102
"případ smrt",102
"stavba a",102
"peněžitý vklad",102
"v místo",101
"trest být",101
"notářský úschova",101
"o zastavení",101
"výrok o",101
"zdravotní služba",101
"zkušební doba",101
"úřad a",101
"návrh smlouva",101
"povinen předložit",101
"plný moc",101
"v poslední",101
"měsíc až",101
"pobyt nebo",101
"až osm",100
"jako den",100
"i jiný",100
"a d",100
"a datum",100
"právo autorský",100
"záloha na",100
"senát a",100
"příkaz k",100
"člen organizovaný",100
"den za",100
"po den",100
"členství v",100
"okresní soud",100
"služba a",100
"na valný",99
"a že",99
"doba a",99
"pohledávka nebo",99
"proti tento",99
"v seznam",99
"příjmení a",99
"osobní údaj",99
"propadnutí věc",98
"z nedbalost",98
"nebo pokud",98
"být zaměstnavatel",98
"odborný kvalifikace",98
"obvod nebo",98
"podání nabídka",98
"v elektronický",98
"v stejný",98
"na řízení",98
"nebo podle",98
"způsob umožňující",98
"se však",98
"moct mít",98
"sídlo v",98
"od právní",98
"nebo městský",98
"složka stát",98
"a u",98
"proti on",97
"pro on",97
"obec a",97
"pobyt podle",97
"úkon v",97
"nebo při",97
"výnos z",97
"zapsat do",97
"utajovaný informace",97
"zajištění a",97
"pokud a",97
"práce nebo",97
"v smlouva",97
"peněžitý plnění",97
"den před",97
"kdo mít",97
"a při",97
"vysoký škola",97
"o povinnost",97
"právo být",97
"věřitel a",97
"stát a",96
"majetek v",96
"tento účel",96
"rada zaměstnanec",96
"návrh být",96
"doba pobyt",96
"být provést",96
"předpis nebo",96
"doklad podle",96
"o odvolání",96
"přiznat daň",96
"o rozdělení",96
"o cizinec",96
"do konec",96
"určený k",96
"tento trest",96
"nebo služba",95
"místní příslušnost",95
"právní účinek",95
"použít ustanovení",95
"za jenž",95
"přednostní právo",95
"tento případ",95
"jmění manžel",95
"přihlédnutí k",95
"za zdaňovací",95
"doba určitý",95
"ochranný léčení",95
"však do",95
"společný ustanovení",95
"platnost povolení",94
"majetek být",94
"podnikající fyzický",94
"rada obec",94
"třetí zem",94
"srážka z",94
"poskytování služba",94
"který podat",94
"v oznámení",94
"z hledisko",94
"okolnost případ",94
"se stát",94
"v svůj",94
"požádat o",94
"fúze do",94
"na vrácení",94
"odklad po",94
"do vlastní",94
"právo v",94
"náhrada mzda",93
"do zahraničí",93
"smlouva a",93
"notářský komora",93
"výzkum a",93
"kmenový list",93
"zápis o",93
"zaměstnanec a",93
"jeho žádost",93
"kde být",93
"nositel právo",93
"věc samý",92
"povolení oddlužení",92
"účinnost tento",92
"umožňující dálkový",92
"propadnutí majetek",92
"manžel nebo",92
"k její",92
"poštovní služba",92
"a lze",92
"zápis fúze",92
"internetový stránka",92
"výkon tento",92
"s přihlédnutí",92
"účetní období",92
"pokračovat v",92
"o majetek",92
"a vývoj",92
"směrnice evropský",92
"přípustný stížnost",92
"smlouva podle",91
"rozhodnout soud",91
"v zájem",91
"alespoň jeden",91
"a ostatní",91
"o rozhodnutí",91
"údaj v",91
"majetek nebo",91
"činnost podle",91
"který obsahovat",91
"způsob a",91
"státní orgán",91
"povinen podat",91
"územní plánování",91
"nahradit škoda",91
"na její",91
"za on",91
"být on",91
"nebo právo",91
"svůj činnost",91
"národní banka",91
"a jaký",90
"údaj uvedený",90
"pokud v",90
"závazek z",90
"ozbrojený síla",90
"smluvní stát",90
"lze uložit",90
"a rozhodnutí",90
"správce a",90
"ochranný opatření",90
"moc usnesení",90
"právo se",90
"až c",90
"o takový",90
"osvědčení o",90
"plátce mzda",90
"za tento",90
"o vrácení",90
"a e",90
"že v",90
"dobrý víra",89
"uplynutí doba",89
"datum nabytí",89
"pokud by",89
"zákon se",89
"a moct",89
"trestní zákon",89
"ministerstvo školství",89
"jehož být",89
"použitelný předpis",89
"mládež a",89
"cizí stát",89
"v pracovní",89
"věc se",89
"důležitý důvod",89
"takový rozhodnutí",89
"být jeho",89
"být zahájit",89
"sbírka listina",88
"rok až",88
"stanovit prováděcí",88
"docházet k",88
"bez ohled",88
"řízení zastavit",88
"obdobně podle",88
"pojistný plnění",88
"a tělovýchova",88
"zdravotní stav",88
"zvukový záznam",88
"odměna za",88
"zúčastněný osoba",88
"nebo f",87
"vydaný podle",87
"zástupce a",87
"závod nebo",87
"přiměřeně ustanovení",87
"průběh řízení",87
"závislý činnost",87
"správní úřad",87
"zcela nebo",87
"pro stanovení",87
"exekuční titul",87
"pracovní činnost",87
"povaha a",87
"plánovací dokumentace",87
"být uložit",87
"zastavení řízení",87
"jiný prospěch",87
"dítě a",87
"nebo moct",87
"papír nebo",87
"v společný",87
"řád stát",87
"nebo ministerstvo",87
"o dítě",87
"o fúze",87
"Insolvenční soud",86
"biometrický údaj",86
"smlouva na",86
"unie a",86
"v den",86
"orgán právnický",86
"co se",86
"přístup k",86
"kdy on",86
"další osoba",86
"území členský",86
"způsob řešení",86
"aby v",86
"a současně",86
"na přeměna",86
"v období",86
"s jenž",86
"z trestný",86
"být věc",85
"předmět daň",85
"až deset",85
"správce nebo",85
"orgán být",85
"právní důvod",85
"v peníze",85
"z mzda",85
"být i",85
"vnitropodnikově převedený",85
"v dobrý",85
"být možno",85
"cizinec povinen",85
"převedený zaměstnanec",85
"předpis a",85
"o účast",85
"průměrný výdělek",84
"na přeshraniční",84
"zvláštní předpis",84
"stanovený pro",84
"vážný důvod",84
"pro ten",84
"člen orgán",84
"řízení státní",84
"nebo zvláštní",84
"obec nebo",84
"spočívající v",84
"a stát",84
"zahájení zadávací",84
"daňový zvýhodnění",84
"na věc",84
"z závislý",84
"a družstvo",84
"jiný opatření",84
"se z",84
"likvidační zůstatek",84
"zaměstnavatel povinen",84
"peněžní ústav",83
"tento část",83
"katastr nemovitost",83
"společnost být",83
"zda se",83
"bez souhlas",83
"do den",83
"který muset",83
"důkazní prostředek",83
"nebo právnický",83
"při správa",83
"být rozhodnutí",83
"nebo poskytnutí",83
"pozdě však",83
"předpis o",83
"jeden nebo",83
"doklad prokazující",83
"přihlížet se",83
"jiný doklad",83
"o vyloučení",83
"smluvní strana",82
"být veřejný",82
"regulovaný trh",82
"z moc",82
"a údaj",82
"zaměřený na",82
"závažný důvod",82
"výpovědní doba",82
"po zahájení",82
"pobyt cizinec",82
"ledaže být",82
"z ten",82
"zahraniční právnický",82
"vzdělání v",82
"politika územní",82
"odstoupení od",82
"směřující k",82
"moc úřední",82
"žádný z",82
"základní ustanovení",82
"z vlastní",82
"zakázka na",82
"odměna a",82
"z svůj",82
"projektový dokumentace",82
"jeho právo",82
"členský vklad",82
"autorizovaný inspektor",82
"rozhodnutí orgán",82
"on na",82
"veřejně prospěšný",81
"značný prospěch",81
"k takový",81
"obor vzdělání",81
"výše a",81
"nebo po",81
"stavební povolení",81
"povaha věc",81
"území pobývat",81
"být zaměstnanec",81
"obrazový záznam",81
"a výše",81
"k jiný",81
"předpokládaný hodnota",81
"na výkon",81
"jiný značný",81
"kvalifikace pro",81
"soutěž o",81
"počet člen",81
"do tři",81
"jeden měsíc",81
"technický zhodnocení",81
"dlužník a",81
"o svůj",80
"kárný řízení",80
"motorový vozidlo",80
"popřípadě jiný",80
"a výdaj",80
"který podle",80
"český soud",80
"vydat rozhodnutí",80
"žádat o",80
"a adresa",80
"informace a",80
"úmyslný trestný",80
"na ochrana",80
"na správa",80
"se konat",80
"o provedení",80
"v ostatní",80
"podat odvolání",80
"řízení moct",80
"nebo kdo",80
"být stanovit",80
"se obdobně",80
"o zvýšení",80
"nebo jinak",80
"přeshraniční fúze",80
"shromáždění delegát",80
"k projednání",79
"den zápis",79
"vzdělání s",79
"den a",79
"jiný újma",79
"dodatečný daňový",79
"který z",79
"na majetek",79
"rozhodnutí valný",79
"nebo ten",79
"lhůta do",79
"podat v",79
"patřící do",79
"připadající na",79
"právo stavba",79
"orgán v",79
"příjem podle",79
"k odstranění",79
"účel daň",79
"užívání stavba",79
"o a",79
"plynoucí z",78
"závazný posouzení",78
"bydliště nebo",78
"povinnost přiznat",78
"v žádost",78
"vízo k",78
"do řízení",78
"na uspokojení",78
"léto ode",78
"nebo změna",78
"o určení",78
"být určit",78
"podklad pro",78
"nebo jestliže",78
"mít na",78
"člen představenstvo",78
"evropský společenství",77
