"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"znění pozdějších předpisů",635
"ve znění pozdějších",628
"bez zbytečného odkladu",533
"podle tohoto zákona",510
"zvláštního právního předpisu",497
"podle zvláštního právního",471
"dnů ode dne",458
"území České republiky",431
"pobytu na území",409
"bude pachatel potrestán",394
"do obchodního rejstříku",377
"Odnětím svobody na",362
"povolení k dlouhodobému",356
"v souvislosti s",354
"jiného členského státu",350
"na území České",347
"k dlouhodobému pobytu",345
"právní moci rozhodnutí",330
"v rozporu s",307
"se pro účely",306
"a o změně",301
"potrestán odnětím svobody",293
"bude potrestán odnětím",291
"uvedený v odstavci",264
"státu Evropské unie",263
"o povolení k",262
"členského státu Evropské",252
"v souladu s",252
"v trestním řízení",239
"svobody až na",232
"čin uvedený v",232
"se za to",229
"jiného právního předpisu",224
"let bude pachatel",223
"uvedené v odstavci",221
"v České republice",219
"účely tohoto zákona",218
"pro účely tohoto",217
"na odpočet daně",215
"uvedeným v odstavci",211
"k trvalému pobytu",209
"odnětím svobody až",200
"i v případě",198
"nabytí právní moci",198
"o změně některých",197
"podle jiného právního",196
"s ručením omezeným",194
"rozhodnutí soudu o",193
"podle zákona o",192
"občana Evropské unie",190
"povolení k pobytu",189
"na dvě léta",188
"trestu odnětí svobody",187
"dlouhodobému pobytu za",184
"pobytu za účelem",184
"Evropské unie nebo",183
"měsíců ode dne",183
"zvýšení základního kapitálu",178
"zvláštních právních předpisů",177
"uvedených v odstavci",175
"a to i",174
"činem uvedeným v",173
"v přípravném řízení",171
"podle věty první",171
"podle zákona upravujícího",169
"ve znění zákona",168
"v řízení o",166
"povolení k trvalému",165
"znění zákona č",164
"z přidané hodnoty",163
"i bez návrhu",161
"ve stanovené lhůtě",158
"parlamentu a Rady",152
"podle zvláštních právních",151
"Evropského parlamentu a",150
"pro sebe nebo",150
"moci rozhodnutí o",149
"vydání povolení k",149
"k pobytu nad",146
"nebo pro jiného",146
"sebe nebo pro",145
"daně z příjmů",144
"rozhodnutí o úpadku",144
"se jedná o",140
"se považuje za",139
"práva a povinnosti",139
"na životní prostředí",138
"na tři léta",138
"společnosti s ručením",137
"na jeden rok",137
"průkazu o povolení",135
"se použije obdobně",133
"o vydání povolení",133
"nařízení výkonu rozhodnutí",133
"v jehož obvodu",132
"změně některých zákonů",132
"má se za",131
"na náhradu škody",131
"tohoto zákona rozumí",131
"snížení základního kapitálu",124
"má právo na",123
"za podmínek stanovených",120
"daně z přidané",120
"ve vztahu k",120
"v insolvenčním řízení",118
"vině a trestu",118
"o vině a",118
"v takovém případě",118
"řízení před soudem",117
"společnosti nebo družstva",117
"a v přípravném",117
"mzdy nebo platu",116
"se použijí obdobně",116
"praxe v oboru",116
"zásad územního rozvoje",114
"To platí i",114
"rozhodnutí podle odstavce",113
"žádosti o vydání",112
"občanského soudního řádu",111
"údaj o tom",110
"právo na náhradu",110
"v řízení před",109
"dále stanoveno jinak",109
"na šest měsíců",109
"Evropský hospodářský prostor",108
"s ohledem na",108
"v jiném členském",107
"orgánu veřejné moci",107
"pokud jde o",106
"o správním vyhoštění",106
"až pět let",105
"do veřejného rejstříku",103
"vydání bezdůvodného obohacení",103
"odnětím svobody na",102
"se nevztahuje na",102
"společně a nerozdílně",102
"ES ze dne",102
"v němž je",101
"svobody na dvě",100
"jiném členském státě",100
"šest měsíců až",100
"na úřední desce",100
"dnů za účelem",99
"zdraví při práci",99
"vlivů na životní",99
"svobody na šest",98
"soudu prvního stupně",98
"na zahájení řízení",98
"podle zvláštního zákona",98
"nebo zákazem činnosti",98
"v souladu se",97
"moci rozhodnutí soudu",97
"V takovém případě",96
"do veřejného seznamu",96
"dvě léta až",96
"nárok na odpočet",96
"až osm let",96
"Má se za",95
"roky praxe v",95
"práv a povinností",95
"podmínek uvedených v",94
"soudu o prohlášení",94
"léta až osm",93
"za zdaňovací období",93
"České republiky a",92
"pro případ smrti",92
"umožňujícím dálkový přístup",91
"způsobem umožňujícím dálkový",91
"osoby zúčastněné na",91
"od právní moci",91
"z jiného členského",91
"zbytečného odkladu po",91
"dobu delší než",91
"řízení o pozůstalosti",90
"Nejvyššího správního soudu",90
"ode dne doručení",90
"v zadávacím řízení",90
"České republiky nebo",90
"je přípustná stížnost",90
"až na dvě",89
"trest odnětí svobody",89
"opravy základu daně",89
"jako člen organizované",89
"ustanovení tohoto zákona",88
"v elektronické podobě",88
"má odkladný účinek",88
"v prvním stupni",87
"v zadávací dokumentaci",87
"člen organizované skupiny",87
"oznámení o zahájení",87
"usnesení valné hromady",87
"mládeže a tělovýchovy",86
"jeden rok až",86
"v písemné formě",86
"vnitropodnikově převedeného zaměstnance",85
"důvodů uvedených v",85
"do vlastních rukou",85
"osoby uvedené v",84
"ochrany zdraví při",84
"o prohlášení za",84
"ze závislé činnosti",83
"a ochrany zdraví",83
"je cizinec povinen",83
"bezpečnosti a ochrany",83
"z důvodů uvedených",83
"a to v",83
"žádost o vydání",82
"zvláštním právním předpisem",82
"účinnosti tohoto zákona",82
"právní moci usnesení",82
"jiný právní předpis",81
"platí i v",81
"s přihlédnutím k",81
"z moci úřední",81
"náhradu škody nebo",80
"návrh na zápis",80
"států Evropské unie",80
"až deset let",80
"zvláštní právní předpis",80
"účastnických cenných papírů",80
"bez ohledu na",80
"nebo nemajetkové újmy",79
"svobody na jeden",79
"na povolení oddlužení",79
"veřejné obchodní společnosti",79
"prováděcí právní předpis",79
"usnesení o nařízení",78
"újmu na zdraví",78
"škody nebo nemajetkové",78
"podání návrhu na",77
"víza k pobytu",77
"fúze do obchodního",77
"v rozporu se",77
"vydání rozhodnutí o",77
"Zaměstnavatel je povinen",77
"stanoví prováděcí právní",77
"v dobré víře",77
"let ode dne",76
"Směrnice Evropského parlamentu",76
"nabytí účinnosti tohoto",76
"výkonu trestu odnětí",76
"o návrhu na",76
"soud na návrh",76
"Zvláštní ustanovení o",75
"datum nabytí právní",75
"členských států Evropské",75
"podání žádosti o",74
"po dobu delší",74
"k tomuto zákonu",74
"ve lhůtě do",74
"Příprava je trestná",74
"návrhu na povolení",74
"povinná k dani",74
"místo a stát",73
"Evropské unie a",73
"za účelem strpění",73
"měsíce ode dne",73
"je zaměstnavatel povinen",73
"zahájení zadávacího řízení",72
"nebo městské části",72
"činný v trestním",72
"proti rozhodnutí o",72
"těžkou újmu na",72
"s právními předpisy",72
"místo a okres",72
"osm let bude",71
"dohody o vině",71
"účelem strpění pobytu",71
"vlastnické právo k",71
"nebo jeho části",71
"ve zdaňovacím období",71
"do likvidační podstaty",70
"obchodních společností a",70
"mimo území České",70
"zastavení trestního stíhání",70
"rodinného příslušníka občana",70
"příslušníka občana Evropské",70
"zajištění a udržení",69
"obvodu nebo městské",69
"dnů od doručení",69
"v němž má",69
"zcela nebo zčásti",69
"až na tři",69
"nároku na odpočet",69
"tři léta až",69
"platnosti povolení k",69
"příjmů právnických osob",68
"na vydání bezdůvodného",68
"z příjmů právnických",68
"léta nebo zákazem",68
"senátu a v",68
"zahájení insolvenčního řízení",68
"na jeho žádost",68
"na dani podle",68
"svobody na tři",68
"v insolvenčním rejstříku",68
"návrh na povolení",68
"o nařízení výkonu",68
"prospěch velkého rozsahu",67
"uvedená v odstavci",67
"do majetkové podstaty",67
"rozhodnutí o schválení",67
"přestupek podle odstavce",67
"prohlášení za mrtvého",67
"o vrácení daně",67
"přípravném řízení státní",66
"v oboru vzdělání",66
"společností a družstev",66
"jiného značný prospěch",66
"v příloze č",66
"rozhodnutí o správním",66
"střední vzdělání s",66
"řízení státní zástupce",66
"na přeshraniční přeměně",66
"výzkumu a vývoje",66
"cizince na území",66
"uvedeného v odstavci",65
"na území na",65
"valné hromady o",65
"v rozhodnutí o",65
"pro jiného značný",65
"změny právní formy",65
"po sobě jdoucích",65
"v tomto zákoně",65
"společného jmění manželů",65
"po právní moci",65
"trestem bude pachatel",65
"v souvislosti se",64
"obecně prospěšných prací",64
"takový čin v",64
"území členských států",64
"jednoho správního místa",64
"léta až deset",64
"oprávnění k pobytu",64
"návrh na zahájení",64
"se použijí přiměřeně",64
"ve lhůtě podle",63
"po uplynutí lhůty",63
"ve kterém se",63
"stanovených tímto zákonem",62
"za podmínek uvedených",62
"pro jiného prospěch",62
"náklady spojené s",62
"rozhodnutí ve věci",62
"jež má odkladný",62
"městského obvodu nebo",62
"nebo propadnutím věci",62
"takovým činem pro",62
"rozhodnutí o zajištění",62
"a v případě",61
"být kratší než",61
"nesmí být kratší",61
"adresa místa pobytu",61
"činem pro sebe",61
"jiného prospěch velkého",61
"z výkonu práv",61
"zbytečného odkladu poté",61
"rozhodnutí o zrušení",61
"tohoto zákona o",61
"uveden jako den",61
"udržitelný rozvoj území",61
"v této lhůtě",60
"společnost nebo družstvo",60
"Proti rozhodnutí o",60
"do jiného členského",60
"škodu velkého rozsahu",60
"o manželském majetkovém",60
"vízum k pobytu",60
"zanikající nebo rozdělované",60
"jiným právním předpisem",60
"v oznámení o",60
"rok až pět",60
"za stavu ohrožení",60
"o cestovním zdravotním",60
"do jehož působnosti",60
"tento zákon jinak",60
"Proti rozhodnutí podle",59
"cestovním zdravotním pojištění",59
"stavu ohrožení státu",59
"v pracovním poměru",59
"na které se",59
"na vrácení daně",59
"může insolvenční soud",59
"souvislosti s výkonem",59
"do sbírky listin",59
"nejpozději však do",59
"nepřihlíží se k",59
"rozhodnutí valné hromady",59
"na udržitelný rozvoj",59
"na území pobývá",59
"z trestné činnosti",59
"zákazem činnosti nebo",59
"nabylo právní moci",59
"orgán činný v",58
"nástupnické společnosti nebo",58
"podán návrh na",58
"s místem plnění",58
"manželském majetkovém režimu",58
"ode dne nabytí",58
"za majetkovou podstatou",58
"prohlášení o majetku",58
"osob zúčastněných na",58
"návrhu na zápis",58
"v rozsahu stanoveném",58
"o zvýšení základního",58
"tím není dotčeno",58
"uvedenou v odstavci",58
"tohoto zákona se",57
"za válečného stavu",57
"ve věci samé",57
"strpění pobytu na",57
"které mají být",57
"na dobu určitou",56
"schválení dohody o",56
"s maturitní zkouškou",56
"s cennými papíry",56
"karty vnitropodnikově převedeného",56
"svobody na pět",56
"v členském státě",56
"podle právních předpisů",56
"z příjmů fyzických",56
"na pět až",56
"na valné hromadě",56
"akreditovaným Ministerstvem školství",55
"až do výše",55
"daně v případě",55
"v tomto případě",55
"zvláštními právními předpisy",55
"je živnost provozována",55
"o závazném posouzení",55
"nebo jeho část",55
"příjmů fyzických osob",55
"předseda senátu a",55
"orgánu právnické osoby",55
"způsobem uvedeným v",55
"činnosti nebo propadnutím",55
"zařízením akreditovaným Ministerstvem",54
"na základě rozhodnutí",54
"na jehož území",54
"čin v úmyslu",54
"zákon nestanoví jinak",54
"právních předpisů upravujících",54
"osvědčení o rekvalifikaci",54
"vydaný zařízením akreditovaným",54
"vztahující se k",54
"zařízením akreditovaným podle",54
"nebo jiný doklad",54
"se zdravotním postižením",54
"lhůty pro podání",54
"němž je živnost",54
"opatření obecné povahy",54
"s nárokem na",54
"jehož působnosti patří",54
"sociálně-právní ochrany dětí",53
"vyhodnocení vlivů na",53
"který je v",53
"zboží nebo poskytnutí",53
"vycestování z území",53
"akreditovaným podle zvláštních",53
"plnění veřejné zakázky",53
"podle jiného zákona",53
"vzdělání s maturitní",53
"a to na",53
"zahájením insolvenčního řízení",53
"ze samostatné činnosti",53
"a to do",53
"jiný doklad o",53
"doklad o odborné",53
"a to ve",52
"do jednoho měsíce",52
"získat pro sebe",52
"působnosti patří odvětví",52
"ode dne podání",52
"územně plánovací dokumentace",52
"obchodní společnosti nebo",52
"na území jiného",52
"podle písmene a",52
"rozdělení do obchodního",52
"rozhodnutí o závazném",52
"tohoto zákona a",52
"řídí právním řádem",51
"o odborné kvalifikaci",51
"deset let bude",51
"má nárok na",51
"v úmyslu získat",51
"evropském regulovaném trhu",51
"osoba uvedená v",51
"platí i pro",51
"ohrožení státu nebo",51
"území Evropské unie",51
"odborné kvalifikaci pro",51
"politiky územního rozvoje",51
"podat návrh na",51
"odstoupení od smlouvy",51
"který byl v",50
"svolání valné hromady",50
"ve lhůtě stanovené",50
"o zahájení zadávacího",50
"vlivů na udržitelný",50
"nebo na základě",50
"místem plnění v",50
"odstoupit od smlouvy",50
"právním řádem státu",50
"úmyslu získat pro",50
"nebo poskytnutí služby",50
"v němž se",50
"nebo peněžitým trestem",50
"ve veřejném zasedání",50
"státu nebo za",50
"může předseda senátu",50
"roku ode dne",50
"při správě daní",50
"řízení ve věcech",50
"povinnost přiznat daň",50
"až na jeden",50
"k pobytu na",50
"která nesmí být",50
"jako den smrti",50
"dopustí přestupku tím",49
"vlastnického práva k",49
"sobě nebo jinému",49
"po celou dobu",49
"vstupu na území",49
"předpisu Evropské unie",49
"právní poměry obchodních",49
"poměry obchodních společností",49
"zaknihovaných cenných papírů",49
"o zahájení řízení",49
"nebo za válečného",48
"základu daně v",48
"případě nedobytné pohledávky",48
"s rozšířenou působností",48
"podmínek stanovených v",48
"na evropském regulovaném",48
"to platí i",48
"pro příslušnou pracovní",48
"a v řízení",48
"účastníka zadávacího řízení",48
"žádosti o udělení",48
"ochrany na území",48
"do tří měsíců",48
"nebo rozdělované společnosti",47
"dnem nabytí účinnosti",47
"tvořícího Evropský hospodářský",47
"státu tvořícího Evropský",47
"jen na návrh",47
"na veřejnou zakázku",47
"V řízení o",47
"zboží z jiného",47
"jmění na společníka",47
"pro vydání rozhodnutí",47
"v případě nedobytné",47
"a udržení příjmů",47
"podmínky uvedené v",47
"daně podle odstavce",47
"není odvolání přípustné",47
"soud prvního stupně",47
"obrany nebo bezpečnosti",47
"na náhradu nákladů",47
"údaje uvedené v",47
"jen se souhlasem",47
"společnost s ručením",46
"příjmů z výkonu",46
"slevu na dani",46
"změně a doplnění",46
"se použije přiměřeně",46
"na základě smlouvy",46
"o změně a",46
"cizinec povinen předložit",46
"konání valné hromady",46
"v průběhu řízení",46
"pro trestný čin",46
"činnost vydaný zařízením",46
"se řídí právním",46
"kvalifikaci pro příslušnou",45
"K žádosti o",45
"podnikání na kapitálovém",45
"nárokem na odpočet",45
"pro zápis do",45
"na povolení reorganizace",45
"je daňovým rezidentem",45
"pobyt na území",45
"Například zákon č",45
"příslušnou pracovní činnost",45
"měsíců až tři",45
"na schválení dohody",45
"až tři léta",45
"úřední desce soudu",45
"pracovních dnů ode",45
"za účelem ochrany",45
"evidence Rejstříku trestů",45
"v samostatné působnosti",44
"přede dnem nabytí",44
"moci usnesení o",44
"režimu jednoho správního",44
"je Česká republika",44
"účastníků zadávacího řízení",44
"a za podmínek",44
"práv a svobod",44
"jiných právních předpisů",44
"jméno a příjmení",44
"nákladů spojených s",44
"zpeněžením majetkové podstaty",44
"až dvanáct let",44
"hledí se na",44
"do notářské úschovy",44
"z evidence Rejstříku",44
"účely daně z",44
"ručením omezeným nebo",44
"na území a",43
"kdy se o",43
"na kapitálovém trhu",43
"Správce daně může",43
"společností nebo družstev",43
"územního samosprávného celku",43
"měsíců až pět",43
"za účelem společného",43
"průběhu insolvenčního řízení",43
"základu daně podle",43
"státem Evropské unie",43
"plnění v tuzemsku",43
"Stejně bude potrestán",43
"peněžitým trestem bude",43
"oboru vzdělání zaměřeném",43
"zadání veřejné zakázky",43
"zahájení trestního stíhání",43
"o prodloužení doby",43
"pracovní činnost vydaný",43
"do základu daně",43
"o přestupek podle",43
"pět let nebo",43
"v němž bylo",43
"považuje se za",42
"změně právní formy",42
"daňové identifikační číslo",42
"nebo v případě",42
"po dobu nejméně",42
"na území nebo",42
"nebo propadnutím majetku",42
"jehož obvodu je",42
"v oblasti obrany",42
"plyne příjem ze",42
"některých souvisejících zákonů",42
"nebo na vydání",42
"se k tomu",42
"nebezpečí z prodlení",42
"je oprávněn podat",42
"vzhledem k povaze",42
"na správě daní",42
"členským státem Evropské",42
"do jednoho roku",42
"zúčastněné na přeměně",42
"přímo použitelného předpisu",42
"podmínek stanovených tímto",42
"let nebo propadnutím",42
"že se jedná",42
"takovém případě se",42
"soutěže o návrh",42
"ZVLÁŠTNÍ USTANOVENÍ O",42
"ohledu na to",42
"o rekvalifikaci nebo",42
"která má být",42
"majetku bude pachatel",41
"na území členských",41
"pro účely daně",41
"EU ze dne",41
"od smlouvy odstoupit",41
"ve kterém má",41
"ve veřejném seznamu",41
"Policie České republiky",41
"do šesti měsíců",41
"pobývá na území",41
"bylo rozhodnuto o",41
"povinnou k dani",41
"vzdělání zaměřeném na",41
"o udělení mezinárodní",41
"vyšší odborné vzdělání",41
"se oznamuje pouze",41
"propadnutím majetku bude",41
"které plyne příjem",41
"se sídlem v",41
"účelem ochrany na",41
"od základu daně",41
"tímto zákonem a",41
"a identifikační číslo",41
"oblasti obrany nebo",41
"ze které plyne",41
"společného soužití rodiny",41
"orgánu obchodní korporace",41
"má za to",41
"tvořících Evropský hospodářský",41
"pro stanovení daně",41
"uplynutí lhůty pro",41
"upravuje právní poměry",40
"Osoba povinná k",40
"rozhodnutí správního orgánu",40
"může správce daně",40
"povolení k zaměstnání",40
"oprávnění k výkonu",40
"použitelného předpisu Evropské",40
"zahájení řízení o",40
"až do doby",40
"změny územního plánu",40
"k nemovité věci",40
"v přezkumném řízení",40
"řízení bez uveřejnění",40
"to v rozsahu",40
"základního kapitálu nástupnické",40
"Návrh na zápis",40
"udělení mezinárodní ochrany",40
"rekvalifikaci nebo jiný",40
"kapitálu nástupnické společnosti",40
"podle právního řádu",40
"který upravuje právní",40
"účelem společného soužití",40
"odpočet daně v",40
"daně s nárokem",39
"ode dne jeho",39
"v obchodní korporaci",39
"s biometrickými údaji",39
"úmyslný trestný čin",39
"se dopustí přestupku",39
"se postupuje podle",39
"o způsobu řešení",39
"v odůvodněných případech",39
"právech a povinnostech",39
"splněny podmínky pro",39
"ve kterém je",39
"způsobem narušit veřejný",39
"nárok na vrácení",39
"osob uvedených v",39
"na valnou hromadu",39
"k přechodnému pobytu",39
"než České republiky",39
"o pracovní činnosti",39
"kterým se stanoví",39
"to i v",39
"o zastavení řízení",39
"rozhodnutí o udělení",39
"pouze v případě",39
"musí být v",39
"právního předpisu upravujícího",39
"správce je povinen",39
"k výkonu práce",39
"který na území",39
"jehož obvodu má",39
"pro porušení zákona",39
"důvodu uvedeného v",39
"řádně a včas",39
"pro podání nabídek",38
"posuzování vlivů na",38
"sídlem na území",38
"řízení podle odstavce",38
"příjem ze samostatné",38
"nárok na náhradu",38
"podle přímo použitelného",38
"na základě zákona",38
"závažným způsobem narušit",38
"zakladatelské právní jednání",38
"se v tomto",38
"k rozhodnutí o",38
"až dvacet let",38
"k žádosti o",38
"let nebo peněžitým",38
"musí obsahovat a",38
"případech uvedených v",38
"s tímto zákonem",38
"tento zákon nebo",38
"převodu jmění na",38
"domu a pozemku",38
"narušit veřejný pořádek",38
"je povinen podat",38
"dodání zboží nebo",38
"z informačního systému",38
"za účelem investování",38
"škody nebo jiné",38
"může soud uložit",38
"zaknihovaný cenný papír",38
"právo na uspokojení",38
"pět let bude",38
"organizační složky státu",38
"zúčastněné na přeshraniční",38
"o prodloužení platnosti",38
"povaze a závažnosti",37
"maturitní zkouškou v",37
"na dobu neurčitou",37
"rozhodnutí o přestupku",37
"postupuje obdobně podle",37
"občanem Evropské unie",37
"neplatí v případě",37
"případy uvedené v",37
"nebo právnická osoba",37
"náležitosti uvedené v",37
"návrh státního zástupce",37
"vstup na území",37
"změně některých souvisejících",37
"jiným členským státem",37
"platí i tehdy",37
"a to za",37
"nebo jiné újmy",37
"vzhledem k okolnostem",37
"orgán veřejné moci",37
"majetku patřícího do",37
"léta bude pachatel",37
"na likvidačním zůstatku",37
"na návrh státního",37
"z pracovněprávních vztahů",37
"členovi zastupitelstva obce",37
"na území podle",37
"spáchání trestného činu",37
"obchodování na evropském",37
"o vydání rozhodnutí",36
"na sociální zabezpečení",36
"ve správním soudnictví",36
"k povaze a",36
"dvě léta nebo",36
"být delší než",36
"na zastupitelském úřadu",36
"nebo zařízením akreditovaným",36
"za mrtvého uveden",36
"na podíl na",36
"podle zvláštní sazby",36
"mrtvého uveden jako",36
"v katastru nemovitostí",36
"identifikační číslo osoby",36
"vztahuje i na",36
"takovým činem značnou",36
"pro místní rozvoj",36
"žádosti o účast",36
"tím není dotčena",36
"svobody na osm",36
"v hlavním líčení",36
"v případech stanovených",36
"dnem právní moci",36
"z majetkové podstaty",36
"ve větě první",36
"Nejvyšší správní soud",36
"na osm až",36
"uskutečnění zdanitelného plnění",36
"podává daňové přiznání",36
"všech zúčastněných společností",36
"skutečnosti rozhodné pro",36
"nesmí být delší",35
"podíl na zisku",35
"slevy na dani",35
"platí obdobně pro",35
"systému s neodvolatelností",35
"pořízení zboží z",35
"daní z příjmů",35
"prohlášený za mrtvého",35
"států tvořících Evropský",35
"nebo jeho zástupce",35
"k obchodování na",35
"dne právní moci",35
"srážkami ze mzdy",35
"stanoví tento zákon",35
"že jde o",35
"měsíce následujícího po",35
"o přechodném pobytu",35
"občanem České republiky",35
"nemajetkové újmy nebo",35
"rozhodnutí o povolení",35
"výsad a imunit",35
"podle ustanovení o",35
"na vízum k",35
"na obnovu řízení",35
"na uspokojení pohledávky",35
"nebo povolení k",35
"Českou národní bankou",35
"pokud se vyžadují",35
"ve spojení s",35
"přechodném pobytu na",35
"k pobytu pro",35
"v kalendářním roce",35
"plnění při poskytnutí",35
"příjmy a výdaji",35
"osoba povinná k",35
"území jiného členského",34
"přemístění sídla do",34
"potvrzení o přechodném",34
"z důvodu uvedeného",34
"ledaže společenská smlouva",34
"je příslušný soud",34
"dat s biometrickými",34
"v přiměřené lhůtě",34
"způsobem stanoveným tímto",34
"v rozhodnutí soudu",34
"za účelem sezónního",34
"o snížení základního",34
"ve veřejném rejstříku",34
"činem značnou škodu",34
"majetku likvidační podstaty",34
"v jakém rozsahu",34
"tři léta nebo",34
"pokud se jedná",34
"se sídlem na",34
"podle jiných právních",34
"o případy uvedené",34
"s návrhem na",34
"pokud je to",34
"na území Evropské",34
"veřejné datové sítě",34
"mezi příjmy a",34
"za mrtvého nepřežil",34
"zahraničního obchodního rejstříku",34
"Obdobně se postupuje",34
"do dvou měsíců",34
"jinak se k",34
"kulturní a jiné",34
"tři léta bude",34
"od adresy místa",34
"a jiné společenské",34
"přenesení daňové povinnosti",34
"v jiné položce",34
"datum a místo",34
"s dispozičními oprávněními",34
"návrhu na zahájení",34
"podílu na zisku",34
"územního rozvoje a",34
"zkouškou v oboru",34
"s výjimkou uvedenou",34
"z vlastních zdrojů",34
"základního kapitálu do",34
"dne podání žádosti",34
"jiné položce této",34
"výjimkou uvedenou v",34
"který žádá o",33
"Pro účely tohoto",33
"jednoho měsíce ode",33
"vůči třetím osobám",33
"u něhož je",33
"řízení je příslušný",33
"je povinen na",33
"veřejné zakázky na",33
"se podává daňové",33
"datum narození a",33
"výnosů z trestné",33
"Po právní moci",33
"po rozhodnutí o",33
"o posuzování vlivů",33
"aktualizace zásad územního",33
"trestné činnosti a",33
"člena zastupitelstva obce",33
"převedeného zaměstnance jiného",33
"Proti tomuto rozhodnutí",33
"trvalému pobytu podle",33
"nástupnické právnické osoby",33
"vydání územního rozhodnutí",33
"a okres narození",33
"jiné společenské akce",33
"zaknihované cenné papíry",33
"zápis do obchodního",33
"pobývat na území",33
"zaměstnance jiného členského",33
"daň z přidané",33
"o zrušení platnosti",33
"kapitálu do obchodního",33
"právní předpis stanoví",33
"položce této přílohy",33
"v plném rozsahu",33
"uzavření smlouvy o",33
"Do práva autorského",33
"ode dne právní",33
"účastník zadávacího řízení",33
"k dani v",33
"členem statutárního orgánu",33
"se má za",33
"způsobu řešení úpadku",33
"kromě obecných náležitostí",33
"po dobu trvání",33
"k podání nabídek",33
"nebo její část",33
"adresy místa pobytu",33
"dnem následujícím po",33
"řízení o přestupku",33
"proti tomuto rozhodnutí",33
"účelem sezónního zaměstnání",33
"takový čin ve",33
"účely daní z",33
"nebo výjimečným trestem",32
"před uzavřením smlouvy",32
"soud a v",32
"pro trestní řízení",32
"v obchodním rejstříku",32
"před správním orgánem",32
"v průběhu insolvenčního",32
"přeměny do obchodního",32
"jeden z manželů",32
"osoba zúčastněná na",32
"do informačního systému",32
"nebo závažným způsobem",32
"Soud může uložit",32
"organizované zločinecké skupiny",32
"zákona o zaměstnanosti",32
"správce daně o",32
"kdo do řízení",32
"kalendáře se zpeněžením",32
"vstupu na sportovní",32
"pro oblast bezpečnosti",32
"se v řízení",32
"dynamického nákupního systému",32
"řízení s uveřejněním",32
"zvláštní sazby daně",32
"na návrh osoby",32
"která je předmětem",32
"na pojistné plnění",32
"se zpeněžením majetkové",32
"a studijním oboru",32
"Ustanovení tohoto zákona",32
"podle zvláštních předpisů",32
"oblast bezpečnosti a",32
"zápisu fúze do",32
"soud i bez",32
"do obchodního majetku",32
"tří měsíců ode",32
"návrhu na schválení",32
"dne nabytí právní",32
"Policii České republiky",32
"ve společném jmění",32
"zákonného zástupce nebo",32
"udělení dlouhodobého víza",32
"systému smluvních států",32
"a zákona č",32
"programu a studijním",32
"vzdělání v oboru",32
"stanoveným tímto zákonem",31
"splnění vkladové povinnosti",31
"popřípadě také bydliště",31
"osvobozeno od daně",31
"v době jeho",31
"o prohlášení konkursu",31
"výše základního kapitálu",31
"místa trvalého pobytu",31
"a povinnosti z",31
"postupuje se podle",31
"za ztrátu na",31
"ztrátu na výdělku",31
"nemá odkladný účinek",31
"srážkou podle zvláštní",31
"takový čin za",31
"a to až",31
"do živnostenského rejstříku",31
"lhůtu pro podání",31
"účelem vědeckého výzkumu",31
"šesti měsíců ode",31
"při dovozu zboží",31
"závazku ze smlouvy",31
"nebo trvalému pobytu",31
"pobytu pro cizince",31
"není třeba nařizovat",31
"na základě žádosti",31
"v přídatném spoluvlastnictví",31
"o skutečném majiteli",31
"v přenesené působnosti",31
"studijním programu a",31
"povolení k přechodnému",31
"tohoto zákona nebo",31
"podání daňového přiznání",31
"právnické osoby nebo",31
"a musí být",31
"řízení o návrhu",31
"lhůty podle odstavce",31
"Nařízení Evropského parlamentu",31
"popřípadě jako den",31
"se postupuje obdobně",31
"zahraniční právnické osoby",31
"činem těžkou újmu",31
"obce s rozšířenou",31
"se sídlem nebo",31
"o schválení přeměny",31
"vypořádání společného jmění",31
"rozhodnutí insolvenčního soudu",31
"zadávacího řízení nebo",31
"řízení o žalobě",31
"o žádosti o",31
"byť i z",31
"v rozsahu a",31
"státní zástupce nebo",31
"za účelem vědeckého",30
"který je daňovým",30
"na úhradu nákladů",30
"je třeba souhlasu",30
"se od adresy",30
"jehož území k",30
"před uplynutím lhůty",30
"jednoho z manželů",30
"Práva a povinnosti",30
"vydáno povolení k",30
"doklad o cestovním",30
"právo domáhat se",30
"opatření k nápravě",30
"dobu pobytu na",30
"v této době",30
"ve zvláštním režimu",30
"podal žádost o",30
"Česká republika vázána",30
"opravu základu daně",30
"který ve věci",30
"v penězích nebo",30
