"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency,Relative frequency
"jiný",6887,4415.50215
"právní",5250,3365.96287
"uvedený",3251,2084.33244
"veřejný",3093,1983.03298
"insolvenční",2450,1570.78267
"obchodní",2294,1470.76549
"správní",2291,1468.84208
"zvláštní",2285,1464.99527
"český",2188,1402.80510
"daňový",2004,1284.83611
"povinen",1951,1250.85592
"evropský",1886,1209.18209
"příslušný",1789,1146.99192
"právnický",1785,1144.42738
"stanovený",1774,1137.37488
"státní",1577,1011.07113
"pracovní",1537,985.42570
"další",1477,946.95755
"členský",1429,916.18304
"trestní",1353,867.45672
"trestný",1226,786.03247
"oprávněný",1197,767.43953
"stavební",1195,766.15726
"povinný",1191,763.59272
"územní",1158,742.43524
"společný",1120,718.07208
"základní",1091,699.47914
"majetkový",1028,659.08759
"vysoký",989,634.08329
"nástupnický",936,600.10309
"movitý",847,543.04201
"zadávací",826,529.57816
"fyzický",825,528.93702
"zúčastněný",820,525.73134
"nový",806,516.75544
"cenný",785,503.29159
"valný",758,485.98092
"určený",746,478.28730
"pozdní",741,475.08162
"zahraniční",714,457.77095
"zástavní",687,440.46028
"úřední",661,423.79075
"vlastní",635,407.12122
"vydaný",618,396.22192
"zdaňovací",614,393.65737
"notářský",612,392.37510
"ostatní",601,385.32261
"soudní",600,384.68147
"písemný",600,384.68147
"peněžitý",597,382.75806
"přiměřený",596,382.11693
"dlouhodobý",589,377.62898
"mezinárodní",582,373.14103
"kolektivní",578,370.57648
"osobní",573,367.37080
"zbytečný",562,360.31831
"elektronický",557,357.11263
"cestovní",554,355.18922
"určitý",550,352.62468
"technický",548,351.34241
"kalendářní",544,348.77787
"spojený",542,347.49560
"předběžný",539,345.57219
"ústavní",539,345.57219
"zdravotní",527,337.87856
"odborný",526,337.23742
"stejný",524,335.95515
"jednotlivý",511,327.62039
"finanční",504,323.13244
"poslední",498,319.28562
"možný",496,318.00335
"exekuční",493,316.07994
"platný",485,310.95086
"trvalý",476,305.18063
"obdobný",467,299.41041
"potřebný",460,294.92246
"rodinný",458,293.64019
"dotčený",450,288.51110
"zákonný",444,284.66429
"živnostenský",443,284.02315
"účetní",422,270.55930
"rozhodný",421,269.91817
"přípustný",419,268.63589
"hmotný",413,264.78908
"hospodářský",410,262.86567
"upravující",405,259.65999
"hlavní",400,256.45431
"zanikající",391,250.68409
"obecný",388,248.76068
"statutární",388,248.76068
"závažný",387,248.11955
"týkající",386,247.47841
"závazný",384,246.19614
"zdanitelný",377,241.70819
"likvidační",376,241.06706
"životní",373,239.14365
"související",370,237.22024
"cizí",368,235.93797
"občanský",363,232.73229
"kárný",358,229.52661
"řádný",358,229.52661
"krajský",353,226.32093
"přeshraniční",350,224.39752
"sociální",346,221.83298
"peněžní",343,219.90957
"zajištěný",343,219.90957
