"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency,Relative frequency
"lze",3110,1993.93229
"jinak",1515,971.32071
"kdy",1460,936.05825
"popřípadě",1352,866.81558
"daleko",1284,823.21835
"obdobně",1130,724.48344
"pouze",982,629.59534
"pozdě",777,498.16250
"tak",758,485.98092
"hodně",709,454.56527
"málo",675,432.76665
"třeba",584,374.42330
"již",542,347.49560
"tehdy",512,328.26152
"přiměřeně",457,292.99905
"současně",444,284.66429
"přímo",399,255.81318
"společně",395,253.24864
"dříve",381,244.27273
"vždy",360,230.80888
"poté",355,227.60320
"kde",343,219.90957
"písemně",316,202.59891
"jen",301,192.98187
"dosud",259,166.05417
"případně",254,162.84849
"prodleně",251,160.92508
"přitom",239,153.23145
"spolu",236,151.30805
"řádně",224,143.61442
"územně",219,140.40874
"včas",206,132.07397
"zcela",201,128.86829
"takto",197,126.30375
"předem",193,123.73921
"obecně",192,123.09807
"zpět",191,122.45693
"samostatně",189,121.17466
"až",188,120.53353
"dlouho",185,118.61012
"zároveň",183,117.32785
"zvlášť",181,116.04558
"výslovně",176,112.83990
"bezprostředně",164,105.14627
"veřejně",163,104.50513
"pravomocně",161,103.22286
"vysoce",159,101.94059
"zčásti",152,97.45264
"oprávněně",151,96.81150
"zpravidla",148,94.88810
"tu",141,90.40015
"například",134,85.91220
"bezodkladně",130,83.34765
"stejně",125,80.14197
"osobně",122,78.21857
"místně",122,78.21857
"úředně",118,75.65402
"rozdílně",116,74.37175
"znovu",112,71.80721
"možno",111,71.16607
"opakovaně",104,66.67812
"ještě",103,66.03699
"věcně",101,64.75471
"plně",97,62.19017
"dodatečně",97,62.19017
"podmíněně",97,62.19017
"právně",92,58.98449
"dočasně",91,58.34336
"najevo",91,58.34336
"zjevně",89,57.06108
"úmyslně",88,56.41995
"důvodně",87,55.77881
"vnitropodnikově",85,54.49654
"také",85,54.49654
"pak",85,54.49654
"nově",85,54.49654
"účelně",81,51.93200
"elektronicky",80,51.29086
"přičemž",80,51.29086
"podstatně",80,51.29086
"nadále",79,50.64973
"poměrně",77,49.36746
"nejvýše",74,47.44405
"též",67,42.95610
"zde",65,41.67383
"nutno",64,41.03269
"kdykoli",60,38.46815
"následně",59,37.82701
"blízce",59,37.82701
"dostatečně",58,37.18588
"prokazatelně",58,37.18588
"výlučně",57,36.54474
"odděleně",57,36.54474
"zřejmě",57,36.54474
"skutečně",56,35.90360
"tam",55,35.26247
"zvukově",54,34.62133
"trvale",54,34.62133
"jak",53,33.98020
"zapotřebí",53,33.98020
"přesčas",52,33.33906
"teprve",52,33.33906
"ústně",51,32.69793
"přetržitě",51,32.69793
"maximálně",50,32.05679
"ihned",50,32.05679
"výhradně",50,32.05679
"jednotlivě",49,31.41565
"zbytně",49,31.41565
"spravedlivě",49,31.41565
"právem",48,30.77452
"rozumně",48,30.77452
"hrubě",47,30.13338
"volně",47,30.13338
"dobrovolně",46,29.49225
"bezúplatně",45,28.85111
"opětovně",43,27.56884
"částečně",43,27.56884
"dlouhodobě",42,26.92770
"správně",42,26.92770
"kárně",41,26.28657
"obvykle",41,26.28657
"kdykoliv",41,26.28657
"bezplatně",41,26.28657
"vážně",41,26.28657
"postupně",39,25.00430
"výjimečně",39,25.00430
"ročně",38,24.36316
"nejprve",38,24.36316
"zejména",37,23.72202
"vzájemně",36,23.08089
