"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"a",33817
"být",31999
"v",30064
"nebo",27989
"o",20408
"na",19674
"se",18097
"který",15372
"k",13380
"podle",11832
"s",9801
"z",9645
"osoba",9358
"tento",9308
"pro",8430
"ten",7965
"do",7324
"soud",7101
"řízení",7070
"jiný",7057
"za",6845
"on",6765
"rozhodnutí",6704
"právo",6686
"zákon",6476
"moct",6455
"mít",5713
"že",5358
"den",5357
"daň",5280
"právní",5250
"věc",4859
"odstavec",4830
"orgán",4389
"jeho",4386
"při",4289
"odsta",4246
"i",4075
"pokud",4051
"návrh",3924
"doba",3922
"b",3863
"po",3570
"smlouva",3263
"společnost",3253
"uvedený",3251
"jenž",3228
"povinnost",3216
"předpis",3190
"lze",3110
"veřejný",3093
"výkon",3042
"stát",2911
"ustanovení",2828
"správce",2742
"c",2738
"případ",2728
"od",2638
"svůj",2624
"takový",2563
"území",2561
"lhůta",2556
"činnost",2522
"u",2510
"insolvenční",2451
"až",2421
"účel",2379
"pobyt",2348
"údaj",2338
"majetek",2337
"zaměstnanec",2331
"jen",2329
"člen",2304
"obchodní",2294
"správní",2291
"zvláštní",2285
"úřad",2263
"jestliže",2228
"podmínka",2222
"plnění",2210
"pohledávka",2198
"český",2188
"stanovit",2170
"její",2156
"změna",2144
"důvod",2127
"jako",2081
"žádost",2075
"cizinec",2074
"bez",2070
"čin",2040
"účastník",2033
"jejich",2029
"základ",2018
"daňový",2004
"způsob",1982
"výše",1982
"povinen",1951
"muset",1926
"evropský",1886
"věřitel",1874
"jednání",1872
"část",1868
"č",1847
"použít",1842
"d",1839
"před",1796
"příslušný",1789
"právnický",1785
"stanovený",1774
"republika",1767
"kdo",1764
"aby",1763
"léto",1749
"místo",1731
"než",1716
"platit",1691
"příjem",1677
"rozhodnout",1677
"služba",1670
"podat",1653
"proti",1615
"zástupce",1613
"obec",1596
"zápis",1596
"sb.",1589
"usnesení",1587
"státní",1577
"dlužník",1563
"náklad",1559
"trest",1548
"povolení",1546
"pracovní",1537
"jinak",1515
"práce",1510
"další",1496
"jít",1496
"stavba",1488
"doklad",1482
"kdy",1460
"měsíc",1455
"členský",1429
"rozsah",1427
"písmo",1416
"souhlas",1385
"vydání",1380
"trestní",1353
"popřípadě",1352
"ministerstvo",1340
"náhrada",1330
"podání",1327
"společník",1317
"opatření",1305
"zaměstnavatel",1297
"anebo",1295
"daleko",1284
"jeden",1270
"ochrana",1261
"podíl",1257
"dítě",1255
"vydat",1246
"e",1230
"trestný",1226
"některý",1225
"svoboda",1224
"oprávněný",1197
"stavební",1195
"povinný",1191
"ode",1190
"skutečnost",1184
"listina",1180
"období",1171
"rok",1167
"úkon",1166
"hodnota",1165
"rejstřík",1158
"územní",1158
"moc",1154
"dojít",1150
"částka",1140
"obdobně",1130
"zadavatel",1128
"by",1123
"unie",1121
"společný",1120
"správa",1104
"předmět",1103
"jehož",1101
"odnětí",1094
"základní",1091
"uvést",1082
"družstvo",1069
"provést",1065
"určit",1056
"zajištění",1053
"prostředek",1048
"škoda",1039
"cena",1038
"majetkový",1028
"první",1019
"poplatník",1015
"rada",1014
"však",1011
"jméno",1009
"tak",1004
"znění",1001
"vysoký",989
"pouze",982
"zboží",970
"zrušení",943
"korporace",940
"nástupnický",936
"senát",931
"plátce",927
"poměr",926
"sídlo",926
"zájem",925
"prohlášení",915
"akcie",908
"vlastník",906
"informace",904
"obviněný",902
"zahájení",902
"manžel",895
"předseda",893
"každý",893
"zařízení",886
"dohoda",886
"postup",885
"obsahovat",876
"jednat",876
"f",874
"forma",869
"zrušit",864
"uplatnit",860
"také",854
"považovat",849
"movitý",847
"strana",844
"rozdělení",838
"všecek",832
"vykonávat",831
"zadávací",826
"fyzický",825
"dílo",821
"zúčastněný",820
"provedení",819
"odvolání",813
"nový",807
"pachatel",806
"uložit",799
"papír",796
"oznámení",796
"řád",795
"učinit",795
"seznam",789
"přestupek",787
"zda",787
"jaký",786
"cenný",785
"výdaj",780
"pozdě",777
"potrestat",775
"včetně",774
"valný",758
"zejména",757
"hromada",757
"funkce",748
"notář",747
"přeměna",746
"určený",746
"účinek",741
"smět",741
"pozdní",741
"ani",736
"kapitál",734
"poskytnout",732
"stav",732
"vyžadovat",726
"vzniknout",725
"plán",724
"datum",723
"díl",717
"nárok",714
"zahraniční",714
"jmění",709
"hodně",709
"zpráva",704
"platnost",699
"nařízení",694
"písemnost",694
"vést",690
"co",690
"zástavní",687
"mezi",687
"zakázka",683
"působnost",682
"odklad",682
"uplynutí",679
"vůči",677
"málo",675
"třetí",674
"pozemek",674
"odměna",672
"dluh",670
"oprávnění",665
"úřední",661
"evidence",660
"systém",660
"újma",660
"fúze",659
"občan",659
"spáchat",657
"všechen",654
"obsah",651
"podstata",645
"číslo",644
"vlastní",635
"též",634
"postupovat",634
"výjimka",633
"exekutor",631
"doručení",629
"závod",627
"účet",627
"záznam",627
"třeba",624
"ostatní",622
"rozhodovat",620
"vydaný",618
"okolnost",617
"g",617
"zdaňovací",614
"dva",614
"již",613
"notářský",612
"splnění",608
"zákaz",606
"vklad",606
"ledaže",604
"hlava",603
"soudní",600
"písemný",600
"peněžitý",597
"přiměřený",596
"skupina",595
"oznámit",595
"vztah",595
"rozumět",595
"exekuce",594
"počet",593
"mzda",590
"druhý",589
"dlouhodobý",589
"splnit",589
"odst",588
"nabytí",588
"žaloba",586
"určení",585
"předložit",585
"fond",583
"pojištění",582
"mezinárodní",582
"kolektivní",578
"osobní",573
"prospěch",573
"schůze",571
"povaha",570
"alespoň",568
"převod",567
"zbytečný",562
"či",560
"elektronický",557
"prokázat",557
"způsobit",555
"cestovní",554
"účast",553
"pozůstalost",552
"zdraví",552
"komora",550
"určitý",550
"technický",548
"nabídka",545
"kalendářní",544
"příkaz",544
"spojený",542
"průběh",539
"ústavní",539
"předběžný",539
"adresa",534
"poskytnutí",533
"doručit",533
"rozsudek",533
"péče",532
"schválení",528
"zdravotní",527
"odborný",526
"stejný",524
"dědic",522
"náležitost",521
"námitka",516
"policie",512
"dokumentace",512
"tehdy",512
"jednotlivý",511
"jejichž",511
"požádat",511
"jejíž",510
"vliv",508
"souvislost",507
"vztahovat",506
"stanova",505
"finanční",504
"akcionář",503
"příjmení",501
"obvod",499
"stanovisko",498
"poslední",498
"možný",496
"prodej",496
"druh",496
"exekuční",493
"nabýt",491
"zjistit",489
"závazek",489
"projekt",488
"vznik",486
"platný",485
"zajistit",484
"označení",481
"zánik",480
"písma",480
"úhrada",479
"účetní",479
"uzavření",478
"trvalý",476
"oddíl",475
"výsledek",474
"týž",474
"rozpor",472
"provádět",470
"úpadek",469
"protokol",468
"podnikatel",468
"obdobný",467
"tři",466
"potřebný",460
"dodavatel",459
"rodinný",458
"přiměřeně",457
"oprávnit",456
"subjekt",456
"smrt",454
"stupeň",453
"věta",453
"h",453
"důkaz",450
"dotčený",450
"opatrovník",450
"zastupitelstvo",448
"jakož",447
"soulad",446
"znalec",445
"současně",444
"zákonný",444
"nahradit",443
"soudce",443
"živnostenský",443
"řídit",441
"porušení",440
"navrhovatel",439
"zanikat",439
"organizace",439
"výzva",439
"přihlížet",438
"účinnost",437
"trvání",435
"činit",434
"nařídit",434
"prostřednictvím",432
"zákoník",429
"zůstavitel",426
"oprava",425
"odpočet",424
"režim",424
"požadavek",424
"požadovat",424
"součást",423
"kč",422
"rozhodný",421
"spis",420
"přípustný",419
"nad",414
"úprava",414
"hmotný",413
"byt",413
"rozvoj",411
"omezení",411
"hospodářský",410
"zvýšení",407
"rodič",406
"poškozený",406
"upravující",405
"stížnost",403
"komise",402
"důsledek",401
"týkat",400
"hlavní",400
"přímo",399
"projednání",398
"společně",395
"ukončení",395
"příslušník",394
"uzavřít",394
"oddlužení",393
"rámec",392
"zanikající",391
"obecný",388
"pokuta",388
"statutární",388
"závažný",387
"týkající",386
"mimo",385
"náležet",385
"závazný",384
"bydliště",384
"skončení",383
"dříve",381
"pořízení",380
"zdanitelný",377
"likvidační",376
"přijetí",376
"přiznání",374
"výbor",373
"přijmout",373
"kontrola",373
"životní",373
"stíhání",373
"způsobilost",371
"související",370
"cizí",368
"zaniknout",368
"snížení",366
"potřeba",365
"spolek",365
"podklad",365
"sdělit",363
"občanský",363
"odpovídat",361
"průkaz",360
"kvalifikace",360
"vždy",360
"vzdělání",359
"bezpečnost",359
"užívání",359
"karta",359
"řádný",358
"kárný",358
"výrok",357
"získat",357
"sazba",357
"záměr",356
"ztráta",356
"jednotka",356
"vada",356
"vyhláška",356
"poté",355
"změnit",353
"krajský",353
"plnit",352
"postavení",352
"odmítnout",352
"žadatel",351
"potvrzení",351
"dát",351
"poskytovat",350
"přeshraniční",350
"posouzení",348
"dodání",348
"použití",348
"dražba",347
"sám",347
"sociální",346
"zahájit",346
"živnost",346
"kde",344
"peněžní",343
"zajištěný",343
"čl.",343
"svědek",342
"provádění",342
"dotčen",341
"odvolací",340
"nájem",340
"zasedání",339
"odpovědnost",338
"podnikání",338
"samostatný",338
"pojistný",338
"vlastnický",336
"úschova",336
"dosavadní",332
"svěřenský",332
"příslušnost",332
"poskytování",331
"příslušet",330
"obvyklý",328
"soutěž",326
"následek",325
"obor",325
"zastavení",325
"manželství",323
"vyzvat",323
"nájemce",321
"kontrolní",321
"záloha",318
"řešení",318
"vzniklý",317
"ochranný",316
"písemně",316
"vrácení",315
"podaný",315
"podpis",315
"stanovení",314
"předchozí",313
"oblast",313
"přístup",312
"informační",311
"posudek",310
"vyrozumět",310
"zapsat",309
"zjištění",309
"příloha",309
"úplata",309
"prostředí",309
"souhlasit",308
"původní",308
"městský",308
"příspěvek",307
"vízo",306
"trh",306
"uložený",305
"vazba",305
"rozhodování",305
"nastat",305
"zastavit",304
"možnost",301
"tuzemsko",301
"představenstvo",301
"uvedení",301
"umožnit",300
"prostor",299
"člověk",298
"doručovat",298
"nutný",298
"opravný",297
"odsouzený",297
"volba",297
"podávat",296
"úrok",296
"zaměstnání",295
"pravomocný",295
"udělení",295
"vrátit",294
"narození",290
"smluvní",290
"provozování",290
"pojistné",290
"nebezpečí",290
"držitel",289
"jmenovat",289
"výslech",289
"sebe",287
"organizační",286
"trvat",286
"dlouhý",286
"vstup",286
"rozdíl",285
"neplatnost",285
"rovněž",284
"uspokojení",284
"život",284
"směrnice",283
"vyjádření",283
"rozdělovaný",283
"povolání",282
"ujednat",282
"vůle",282
"přípravný",280
"název",280
"splňovat",279
"likvidace",278
"konat",277
"osvědčení",275
"list",275
"omezený",275
"katastrální",275
"vlastnictví",274
"plat",274
"pokračovat",273
"policejní",273
"vyplývající",271
"oprávněn",271
"uplatnění",271
"celý",270
"podoba",270
"společenský",269
"zisk",269
"výpověď",268
"vhodný",268
"domáhat",268
"es",267
"pravidlo",266
"plný",266
"vyhotovení",265
"následující",265
"udělit",264
"platební",264
"podstatný",264
"vyhoštění",263
"jak",263
"účinný",263
"složka",261
"okamžik",261
"písmeno",260
"dodatečný",260
"závislý",260
"ručení",260
"dům",259
"dosud",259
"pět",258
"činný",258
"poskytovatel",258
"užít",258
"nízký",257
"převzetí",257
"bytový",257
"provoz",256
"rodný",256
"případně",254
"příjemce",252
"prodlení",251
"vláda",251
"soupis",251
"identifikační",251
"prodleně",251
"vznikat",251
"vyloučení",251
"akciový",251
"konkurs",250
"zásada",250
"přiznat",250
"odpovídající",249
"závěrka",249
"uložení",248
"porušit",247
"celkový",247
"vyloučit",247
"obhájce",246
"hlas",246
"poskytnutý",245
"obecní",244
"spotřebitel",244
"přihláška",244
"zahraničí",244
"úkol",243
"spor",243
"totožnost",243
"cesta",243
"pravomoc",242
"banka",242
"pořadí",241
"sloučení",240
"zapsaný",240
"šest",240
"dozvědět",239
"zaknihovaný",239
"když",239
"srážka",239
"přitom",239
"hodina",239
"program",239
"skutečný",238
"jistota",238
"j",238
"poučit",237
"užití",237
"bránit",237
"praxe",237
"záležitost",237
"spolu",236
"ústav",236
"odkladný",236
"měnit",236
"uhradit",235
"opis",235
"místní",235
"nezbytný",234
"reorganizační",234
"osvojení",234
"příprava",234
"navrhnout",232
"katastr",232
"nadační",231
"výpis",230
"předat",230
"dovolená",230
"provozovna",230
"ujednání",230
"výhrada",228
"obnova",227
"hranice",227
"nemovitost",226
"pododdíl",226
"blízký",225
"pobývat",225
"dosáhnout",224
"přechodný",224
"něco",224
"pod",224
"řádně",224
"rodina",223
"dědictví",223
"uplynout",223
"propadnutí",223
"vedení",223
"využití",222
"zpeněžení",222
"zdroj",222
"investiční",222
"veřejnoprávní",222
"žádný",221
"jíst",221
"výnos",221
"zaplatit",220
"schválit",220
"odstranění",220
"kandidát",220
"parlament",219
"spáchání",219
"územně",219
"věcný",219
"nadace",218
"zkouška",218
"uveřejnění",218
"pronajímatel",217
"společenství",217
"žádat",216
"uplatňovat",216
"nabývat",215
"běžet",214
"vízum",214
"ohled",214
"licence",213
"podmíněný",213
"přeprava",212
"nástupce",212
"regulační",212
"značný",212
"prohlídka",211
"odkaz",211
"důležitý",211
"náhradní",211
"pojistitel",211
"autor",210
"prezident",210
"vydávat",210
"svéprávnost",210
"konání",209
"velký",208
"dědický",208
"informovat",207
"závěť",207
"včas",206
"zbytný",206
"odvolat",206
"znalecký",205
"jazyk",205
"prospěšný",205
"přímý",205
"peníze",205
"úmysl",204
"zveřejnit",204
"zástava",203
"dohodnout",203
"dohled",203
"kupující",203
"členství",203
"proto",202
"účetnictví",202
"dozorčí",202
"vnitřní",202
"ocenění",201
"zcela",201
"vedoucí",201
"hlasování",201
"vina",200
"vyplývat",200
"předpokládaný",199
"zvolit",199
"vojenský",198
"ohrožení",198
"převzít",198
"způsobilý",198
"dopravní",198
"takto",197
"pomoc",197
"dokument",197
"žalobce",196
"odstranit",196
"výroba",196
"družstevní",196
"prodloužení",195
"požadovaný",195
"doplnění",195
"vypořádání",195
"pověřený",195
"úplný",195
"výdělek",194
"město",193
"zpracování",193
"konec",193
"předem",193
"případný",192
"vydán",192
"obecně",192
"vzít",192
"vzhledem",192
"zpět",191
"vkladový",191
"škola",191
"znám",191
"dražební",191
"organizovaný",191
"daný",191
"splatný",190
"omezit",190
"kraj",190
"samostatně",189
"přerušení",189
"dosažení",189
"podpora",188
"nástroj",188
"pořádek",188
"soutěžitel",187
"náprava",187
"přijatý",187
"prohlásit",187
"výrobek",187
"vynaložený",186
"dlouho",185
"sleva",185
"zvlášť",185
"důvodný",184
"pořizovatel",184
"uživatel",184
"bod",184
"vázat",183
"zároveň",183
"národní",183
"vycestování",182
"spojení",182
"deset",182
"delegát",182
"skončit",182
"veřejnost",181
"zastupovat",181
"dopustit",180
"věřitelský",180
"stavebník",180
"celek",180
"přihlédnout",180
"obohacení",180
"povolit",179
"snížit",179
"nadřízený",179
"vývoj",179
"nakládat",179
"zastoupení",179
"hradit",179
"bezdůvodný",179
"poskytovaný",178
"vyjádřit",178
"doložit",178
"krátký",177
"pořídit",177
"zřídit",177
"zveřejnění",177
"provozovatel",177
"provedený",177
"výslovně",176
"poučení",176
"sdělení",176
"osvobození",176
"registrace",176
"přezkumný",176
"výměna",176
"domácnost",176
"napadený",176
"zaslat",176
"doručování",176
"zamítnout",175
"vykonat",175
"odůvodnění",175
"kromě",174
"ověřený",174
"odstoupit",174
"dočasný",173
"předpoklad",173
"převést",173
"projednat",173
"vedený",172
"m",172
"přidaný",172
"věk",172
"ohrozit",172
"otázka",172
"platba",171
"způsobený",171
"přechod",170
"dobrý",170
"předložení",170
"dovolání",170
"spoluvlastník",169
"obdržet",169
"přerušit",169
"zmocněnec",169
"předcházející",169
"jmenovitý",169
"překážka",169
"podnět",168
"vážný",168
"akreditovaný",168
"uzavřený",168
"cizina",168
"patřit",167
"ještě",167
"nabyvatel",167
"přihlášený",167
"zjištěný",167
"zastupitelský",166
"hlasovat",166
"zletilý",166
"l",166
"líčení",165
"položka",165
"skutek",165
"aniž",164
"autorský",164
"stejnopis",164
"bezprostředně",164
"vědět",164
"mrtvý",163
"šetření",163
"datový",163
"významný",163
"součinnost",163
"rozmnoženina",163
"obsahující",163
"pracovněprávní",163
"veřejně",163
"někdo",163
"ustanovit",162
"zřejmý",162
"vozidlo",162
"připojit",162
"vedle",161
"prováděcí",161
"průměrný",161
"pravomocně",161
"postižení",160
"ubytování",160
"sbírka",160
"osm",160
"přítomný",160
"opatřit",160
"látka",159
"ústní",159
"zřetel",159
"nositel",159
"vysoce",159
"většina",158
"úmrtí",158
"poštovní",158
"ale",157
"výzkum",157
"bezpečnostní",157
"odborový",157
"uskutečnění",157
"označit",157
"posuzovat",157
"uplatněný",157
"styk",157
"potvrdit",156
"zkušební",156
"užívat",156
"uveřejnit",156
"sepsat",156
"umístění",156
"dálkový",156
"umožňující",156
"uskutečnit",155
"zdravotnický",155
"spáchaný",155
"mlčenlivost",155
"občanství",154
"plynoucí",154
"záruka",154
"pokyn",154
"zahrnovat",154
"uspokojit",153
"výtěžek",153
"kulturní",152
"plynout",152
"přecházet",152
"zřízení",152
"odstum",152
"nedoplatek",152
"zčásti",152
"pochybnost",151
"oprávněně",151
"známý",151
"mimořádný",151
"plánovací",150
"tvořit",150
"zem",150
"zaplacení",149
"koncese",149
"prodávající",149
"deska",149
"nedostatek",149
"zpravidla",148
"cíl",148
"požádání",147
"nález",147
"těžký",146
"komanditní",146
"penzijní",146
"reorganizace",146
"učiněný",146
"vyslovit",146
"odpovědný",146
"zvíře",146
"skutkový",145
"poplatek",145
"ukládat",145
"vyplatit",145
"hotový",144
"kopie",144
"zastoupený",144
"dodávka",144
"dlužníkův",144
"přezkoumání",144
"exekutorský",144
"vybraný",143
"snížený",143
"zásilka",143
"titul",143
"týden",143
"prodloužit",143
"sloužit",143
"jakmile",143
"nacházet",143
"vyhlášení",142
"instituce",142
"pověřit",142
"koupě",142
"soubor",142
"lidský",142
"upozornit",142
"rezident",141
"upravovat",141
"tu",141
"materiál",141
"výplata",141
"obchod",141
"tvrzení",141
"nakládání",141
"zvukový",141
"účastnický",141
"odmítnutí",141
"docházet",141
"obžalovaný",141
"vykonatelný",140
"čas",140
"kurs",140
"adresát",140
"jediný",139
"rozpočet",139
"soukromý",139
"důchod",139
"zavazovat",139
"jednací",138
"veliký",138
"spojit",138
"emisní",138
"použitelný",138
"podílet",138
"hrozit",138
"práv",137
"prostora",137
"dostatečný",137
"ozbrojený",137
"jiné",137
"doprava",137
"několik",137
"hlasovací",137
"pořizovat",136
"zvýšit",136
"dozor",136
"zakladatel",135
"veškerý",135
"zásah",135
"vyrozumění",135
"tvořící",135
"nabytý",135
"síť",135
"míra",134
"například",134
"koncipient",134
"spoluvlastnictví",134
"síla",134
"předání",134
"složit",133
"ujednán",133
"ruka",133
"událost",133
"pojištěný",133
"chráněný",133
"ohlášení",132
"likvidátor",132
"měsíční",132
"procesní",131
"vymezený",131
"zákazník",131
"splněn",131
"obecná",131
"popis",131
"ohledně",131
"doručen",130
"ujednaný",130
"příslušenství",130
"spravovat",130
"význam",130
"bezodkladně",130
"působit",130
"politický",130
"odůvodněný",129
"dokazování",129
"posoudit",129
"rámcový",129
"vstupní",129
"vyúčtování",129
"podléhat",129
"zaměstnanecký",129
"uskutečňovat",128
"vysvětlení",128
"nemoc",128
"rozhodující",128
"během",128
"zbytek",128
"založit",127
"odeslání",127
"advokát",127
"svolat",127
"zakládat",127
"kritérion",127
"přednostní",127
"předkupní",127
"hospodaření",127
"nedbalost",126
"hledisko",126
"registrovaný",125
"vzdát",125
"autorizovaný",125
"firma",125
"stejně",125
"stanout",125
"zapisovat",125
"schopen",125
"podán",125
"účastnit",125
"okresní",125
"obrana",125
"přihlásit",125
"poměrný",124
"pojišťovna",124
"zavázat",124
"samosprávný",124
"příklep",124
"dovoz",124
"jmenování",123
"sjednaný",123
"dostavit",123
"promlčecí",123
"vztahující",123
"zabezpečení",123
"délka",123
"odpisování",123
"odpis",123
"získaný",122
"shromáždění",122
"odevzdat",122
"místně",122
"zadání",122
"osobně",122
"zabezpečovací",122
"uveden",121
"rodičovský",121
"měna",121
"důkazní",121
"hodnocení",121
"pracoviště",121
"odstoupení",121
"plocha",121
"dílčí",121
"ovládaný",121
"vyhodnocení",121
"zúčastnit",121
"prokázání",121
"politika",120
"výpočet",120
"upravit",120
"budoucí",120
"stálý",120
"podobný",120
"dokud",120
"umožňovat",119
"válečný",119
"budova",119
"obžaloba",119
"léčení",119
"hledět",119
"úředně",118
"propuštění",118
"zakladatelský",118
"přítomnost",118
"mládež",118
"obrazový",117
"vnitro",117
"poškození",117
"prováděný",117
"konečný",117
"zajišťovat",117
"objednatel",117
"svěřit",117
"převedený",117
"stávat",117
"přeplatek",116
"schránka",116
"správný",116
"kupní",116
"přesáhnout",116
"majitel",116
"podezřelý",116
"rozdílně",116
"modrý",116
"přijímat",115
"přemístění",115
"střední",115
"doložka",115
"studijní",115
"komunikace",115
"uskutečněný",114
"osvobodit",114
"tlumočník",114
"nezletilý",114
"náležející",114
"vydražitel",114
"podepsat",114
"rejstříkový",114
"zařazení",114
"počítačový",114
"vzájemný",114
"vyjednávací",114
"prokazující",114
"výběr",114
"písm",113
"nosič",113
"zaplacený",113
"postoupení",113
"volit",113
"aktualizace",113
"hromadný",113
"přejít",113
"správka",113
"vedlejší",113
"znovu",112
"mladý",112
"výchova",112
"bydlení",112
"schvalovat",112
"založený",112
"kmenový",111
"sněmovna",111
"násilí",111
"končit",111
"možno",111
"přenesený",111
"prodat",111
"vysílání",111
"ekonomický",111
"odložit",111
"ověření",111
"poslanecký",111
"samý",111
"stránka",111
"využít",110
"pracovník",109
"úředník",109
"placení",109
"provozovat",109
"zrušen",109
"riziko",109
"počátek",109
"spolupráce",109
"dělo",109
"uznání",108
"duševní",108
"hlášení",107
"připomínka",107
"zájezd",107
"uložen",107
"znak",107
"sjednat",107
"obyvatel",106
"odeslat",106
"seznámit",106
"pokračování",106
"utajovaný",106
"splatnost",106
"celní",106
"přidělit",106
"zemřít",106
"osvojitel",106
"přítomen",106
"zůstatek",106
"zhodnocení",105
"osvobozený",105
"posuzování",105
"vypovědět",105
"vykonatelnost",105
"oznamovat",105
"doplnit",105
"nikdo",104
"pravdivý",104
"zahrnout",104
"opakovaně",104
"zprostit",104
"pověření",104
"upustit",103
"úmyslný",103
"výstavba",103
"uznat",103
"pojistník",103
"započtení",103
"detence",103
"vyhradit",103
"směřovat",103
"eu",102
"úvěr",102
"rozdělit",102
"vyhotovit",102
"rozvrh",102
"kvalifikovaný",102
"podnikající",102
"vypořádací",102
"splátka",101
"věcně",101
"pobočka",101
"zvýšený",101
"podnikatelský",101
"závěr",101
"vyžádat",101
"uplatňování",100
"zdržovat",100
"ukončit",100
"umělecký",100
"sbor",100
"dnem",100
"postoupit",100
"internetový",100
"využívat",99
"schválený",99
"poslanec",99
"započítávat",99
"zastavěný",99
"zadávání",99
"ručit",99
"víra",99
"roční",99
"připadající",98
"vylučovat",98
"popření",98
"přesahovat",98
"předložený",98
"tělovýchova",98
"dopravce",98
"náhradník",98
"dodatečně",97
"úraz",97
"plně",97
"partnerství",97
"podmíněně",97
"zastupování",97
"přihlédnutí",97
"žalovaný",97
"podnik",97
"svolání",97
"přezkoumat",96
"určovat",96
"vzdělávání",96
"registr",96
"zhotovitel",96
"vymezit",96
"směřující",96
"souviset",96
"předcházet",96
"osvojenec",95
"osvědčit",95
"projektový",95
"ústava",95
"výživné",95
"běžný",95
"schopnost",95
"projev",95
"nájemné",95
"uvolněný",95
"dluhopis",95
"školství",95
"ústřední",94
"n",94
"dřívější",94
"umístěný",94
"dotknout",94
"biometrický",94
"zvýhodnění",94
"starosta",94
"jednatel",94
"regulovaný",93
"nahlížet",93
"bezpečný",93
"plánování",93
"minimální",93
"držba",93
"odporovat",93
"snižovat",93
"spočívající",93
"manželský",92
"identifikace",92
"mladistvý",92
"zřízený",92
"zbraň",92
"polovina",92
"dávka",92
"termín",92
"výrobce",92
"právně",92
"avšak",92
"formulář",92
"používat",91
"dočasně",91
"různý",91
"vysokoškolský",91
"najevo",91
"kategorie",91
"vyhovit",91
"úhrn",91
"prokazovat",91
"teroristický",91
"navrhovaný",90
"volební",90
"názor",90
"výpovědní",90
"souhrnný",89
"vystavit",89
"spravedlnost",89
"motorový",89
"výživa",89
"kapitálový",89
"zařadit",89
"svěřený",89
"lékařský",89
"zjevně",89
"dar",89
"jakýkoli",89
"hodlat",89
"uplatněn",88
"patřící",88
"zaměstnanost",88
"ehs",88
"součet",88
"připouštět",88
"sdružení",88
"odůvodňovat",88
"úmyslně",88
"malý",88
"obydlí",87
"pak",87
"obchodování",87
"důvodně",87
"odvětví",87
"dovolat",87
"zaměřený",87
"obchodník",87
"rušit",87
"příplatek",87
"situace",87
"předpokládat",87
"poručník",87
"existence",86
"převyšovat",86
"odepřít",86
"vycházet",86
"probační",86
"zaměstnankyně",86
"pořádkový",86
"slovo",85
"vymezení",85
"sportovní",85
"ovládající",85
"shledat",85
"nově",85
"vnitropodnikově",85
"založení",85
"jakýkoliv",85
"senátor",85
"třetina",85
"financování",84
"zůstavitelův",84
"ministr",84
"vyhlásit",84
"ii",84
"zakázat",84
"mateřský",84
"inspektor",84
"razítko",84
"narovnání",83
"referendum",83
"dosažený",83
"spočívat",83
"poškodit",83
"studio",83
"svazek",83
"pozvánka",83
"výmaz",83
"závěrečný",83
"služebnost",83
"auditor",83
"pořadatel",83
"směna",82
"závažnost",82
"domácí",82
"správnost",82
"postačit",82
"částečný",82
"zasahovat",82
"odkazovník",82
"vyplacený",82
"opatrovanec",82
"patnáct",81
"účelně",81
"vědecký",81
"potrestání",81
"běh",81
"přestat",81
"nájemní",81
"přístroj",81
"udržení",81
"partner",81
"centrální",81
"složení",81
"svéprávný",81
"neúčinnost",80
"překročit",80
"peníz",80
"předvolání",80
"vyjít",80
"všeobecný",80
"přistoupit",80
"vyslechnout",80
"pobytový",80
"podstatně",80
"zvyšovat",80
"zločin",80
"platový",80
"přičemž",80
"rozhodčí",80
"funkční",80
"namísto",80
"uvádět",80
"doplňkový",80
"elektronicky",80
"prominout",79
"odsouzení",79
"poskytnut",79
"soudnictví",79
"volný",79
"paušální",79
"zamítnutí",79
"infrastruktura",79
"nadále",79
"výhoda",79
"profesní",79
"upozornění",79
"hrubý",79
"rozkaz",78
"odpad",78
"výkonný",78
"narušit",78
"vynaložit",78
"matka",78
"stanoven",78
"projednávat",78
"listinný",78
"dvacet",77
"byť",77
"rozvod",77
"následný",77
"poměrně",77
"upravený",77
"vyznačit",77
"zmeškání",77
"mez",77
"jdoucí",77
"voda",76
"vykonávaný",76
"přístupný",76
"dán",76
"evidovaný",76
"pravost",76
"strpění",76
"dno",76
"výjimečný",76
"předkládat",76
"úvěrový",76
"zařazený",76
"originál",76
"okres",76
"zjednodušený",76
"žít",75
"uzavřen",75
"určen",75
"zdanění",75
"vyhovět",75
"vyslovení",75
"stravné",75
"probíhat",75
"nést",75
"kterýkoli",75
