"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency,Relative frequency
"osoba",9358,5999.74867
"soud",7101,4552.70521
"řízení",7070,4532.83000
"rozhodnutí",6704,4298.17430
"právo",6686,4286.63386
"zákon",6476,4151.99534
"den",5357,3434.56440
"daň",5280,3385.19694
"věc",4859,3115.27878
"odstavec",4830,3096.68584
"orgán",4389,2813.94496
"odsta",4246,2722.26254
"návrh",3924,2515.81682
"doba",3922,2514.53455
"smlouva",3263,2092.02607
"společnost",3253,2085.61471
"povinnost",3216,2061.89268
"předpis",3190,2045.22315
"výkon",3042,1950.33506
"ustanovení",2828,1813.13200
"správce",2742,1757.99432
"případ",2728,1749.01842
"stát",2606,1670.79986
"území",2561,1641.94875
"lhůta",2556,1638.74307
"činnost",2522,1616.94445
"účel",2379,1525.26203
"pobyt",2347,1504.74569
"údaj",2338,1498.97547
"majetek",2337,1498.33433
"zaměstnanec",2331,1494.48751
"člen",2304,1477.17685
"úřad",2263,1450.89028
"podmínka",2222,1424.60371
"plnění",2210,1416.91008
"pohledávka",2198,1409.21646
"změna",2144,1374.59512
"důvod",2127,1363.69581
"žádost",2075,1330.35675
"cizinec",2074,1329.71562
"čin",2040,1307.91700
"účastník",2033,1303.42905
"základ",2018,1293.81201
"způsob",1982,1270.73113
"výše",1982,1270.73113
"věřitel",1874,1201.48846
"jednání",1872,1200.20619
"část",1868,1197.64165
"republika",1767,1132.88693
"léto",1749,1121.34649
"příjem",1677,1075.18471
"služba",1670,1070.69676
"zástupce",1613,1034.15202
"obec",1596,1023.25271
"zápis",1596,1023.25271
"usnesení",1587,1017.48249
"dlužník",1563,1002.09523
"náklad",1559,999.53069
"trest",1548,992.47819
"povolení",1546,991.19592
"místo",1528,979.65548
"práce",1510,968.11504
"stavba",1488,954.01005
"doklad",1482,950.16323
"měsíc",1455,932.85257
"rozsah",1427,914.90077
"písmo",1416,907.84827
"souhlas",1385,887.97306
"vydání",1380,884.76738
"ministerstvo",1340,859.12195
"náhrada",1330,852.71059
"podání",1327,850.78719
"společník",1317,844.37583
"opatření",1305,836.68220
"zaměstnavatel",1297,831.55311
"ochrana",1261,808.47222
"podíl",1257,805.90768
"dítě",1253,803.34314
"svoboda",1224,784.75020
"skutečnost",1184,759.10477
"listina",1180,756.54023
"období",1171,750.77000
"rok",1167,748.20546
"úkon",1166,747.56433
"hodnota",1165,746.92319
"rejstřík",1158,742.43524
"moc",1149,736.66502
"částka",1140,730.89479
"zadavatel",1128,723.20117
"unie",1121,718.71321
"správa",1104,707.81391
"předmět",1103,707.17277
"odnětí",1094,701.40255
"družstvo",1069,685.37415
"zajištění",1053,675.11598
"prostředek",1048,671.91030
"cena",1038,665.49894
"škoda",1034,662.93440
"poplatník",1015,650.75282
"rada",1014,650.11169
"jméno",1009,646.90601
"znění",1001,641.77692
"zboží",970,621.90171
"zrušení",943,604.59105
"korporace",940,602.66764
"senát",931,596.89742
"plátce",927,594.33287
"sídlo",926,593.69174
"poměr",926,593.69174
