"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency,Relative frequency
"být",31999,20515.70398
"moct",6455,4138.53149
"mít",5713,3662.80874
"stanovit",2170,1391.26465
"muset",1926,1234.82752
"použít",1842,1180.97212
"platit",1691,1084.16061
"rozhodnout",1677,1075.18471
"podat",1653,1059.79745
"jít",1496,959.13913
"vydat",1246,798.85519
"dojít",1150,737.30615
"uvést",1082,693.70892
"provést",1065,682.80961
"určit",1056,677.03939
"jednat",876,561.63495
"obsahovat",876,561.63495
"zrušit",864,553.94132
"uplatnit",860,551.37677
"považovat",849,544.32428
"vykonávat",831,532.78384
"uložit",799,512.26749
"učinit",795,509.70295
"potrestat",775,496.88023
"smět",741,475.08162
"poskytnout",732,469.31139
"vyžadovat",726,465.46458
"vzniknout",725,464.82344
"vést",690,442.38369
"spáchat",657,421.22621
"postupovat",634,406.48009
"rozhodovat",620,397.50419
"oznámit",595,381.47579
"rozumět",595,381.47579
"splnit",589,377.62898
"předložit",585,375.06443
"prokázat",557,357.11263
"způsobit",555,355.83036
"doručit",533,341.72537
"požádat",511,327.62039
"vztahovat",506,324.41471
"nabýt",491,314.79767
"zjistit",489,313.51540
"zajistit",484,310.30972
"provádět",470,301.33382
"oprávnit",456,292.35792
"nahradit",443,284.02315
"řídit",441,282.74088
"zanikat",439,281.45861
"přihlížet",438,280.81747
"nařídit",434,278.25293
"činit",434,278.25293
"požadovat",424,271.84157
"týkat",400,256.45431
"uzavřít",394,252.60750
"náležet",385,246.83728
"přijmout",373,239.14365
"zaniknout",368,235.93797
"sdělit",363,232.73229
"odpovídat",361,231.45002
"získat",357,228.88548
"změnit",353,226.32093
"plnit",352,225.67980
"odmítnout",352,225.67980
"dát",351,225.03866
"poskytovat",350,224.39752
"zahájit",346,221.83298
"příslušet",330,211.57481
"vyzvat",323,207.08686
"vyrozumět",310,198.75209
"zapsat",309,198.11096
"souhlasit",308,197.46982
"stát",305,195.54641
"nastat",305,195.54641
"zastavit",304,194.90528
"umožnit",300,192.34074
"doručovat",298,191.05846
"podávat",296,189.77619
"vrátit",294,188.49392
"jmenovat",289,185.28824
"trvat",286,183.36483
"ujednat",282,180.80029
"splňovat",279,178.87688
"konat",277,177.59461
"pokračovat",273,175.03007
"domáhat",268,171.82439
"udělit",264,169.25985
"užít",258,165.41303
"vznikat",251,160.92508
"přiznat",250,160.28395
"porušit",247,158.36054
"vyloučit",247,158.36054
"dozvědět",239,153.23145
"poučit",237,151.94918
"bránit",237,151.94918
"měnit",236,151.30805
"uhradit",235,150.66691
"navrhnout",232,148.74350
"předat",230,147.46123
"pobývat",225,144.25555
"dosáhnout",224,143.61442
"uplynout",223,142.97328
"jíst",221,141.69101
"schválit",220,141.04987
"zaplatit",220,141.04987
"uplatňovat",216,138.48533
"žádat",216,138.48533
"nabývat",215,137.84419
"běžet",214,137.20306
"vydávat",210,134.63851
"informovat",207,132.71511
"odvolat",206,132.07397
"zveřejnit",204,130.79170
"dohodnout",203,130.15056
"vyplývat",200,128.22716
"zvolit",199,127.58602
"převzít",198,126.94489
"odstranit",196,125.66261
"vzít",192,123.09807
"omezit",190,121.81580
"prohlásit",187,119.89239
"vázat",183,117.32785
"skončit",182,116.68671
"zastupovat",181,116.04558
"přihlédnout",180,115.40444
"dopustit",180,115.40444
"nakládat",179,114.76331
"hradit",179,114.76331
"snížit",179,114.76331
"povolit",179,114.76331
"vyjádřit",178,114.12217
"doložit",178,114.12217
"pořídit",177,113.48103
"zřídit",177,113.48103
"zaslat",176,112.83990
"vykonat",175,112.19876
"zamítnout",175,112.19876
"odstoupit",174,111.55763
"převést",173,110.91649
"projednat",173,110.91649
"ohrozit",172,110.27535
"obdržet",169,108.35195
"přerušit",169,108.35195
"patřit",167,107.06968
"hlasovat",166,106.42854
"vědět",164,105.14627
"připojit",162,103.86400
"ustanovit",162,103.86400
"opatřit",160,102.58173
"označit",157,100.65832
"posuzovat",157,100.65832
"potvrdit",156,100.01718
"sepsat",156,100.01718
"užívat",156,100.01718
"uveřejnit",156,100.01718
"uskutečnit",155,99.37605
"zahrnovat",154,98.73491
"uspokojit",153,98.09378
"přecházet",152,97.45264
"plynout",152,97.45264
"tvořit",150,96.17037
"vyslovit",146,93.60582
"vyplatit",145,92.96469
"ukládat",145,92.96469
"sloužit",143,91.68242
"nacházet",143,91.68242
"prodloužit",143,91.68242
"upozornit",142,91.04128
"pověřit",142,91.04128
"docházet",141,90.40015
"upravovat",141,90.40015
"zavazovat",139,89.11787
"podílet",138,88.47674
"hrozit",138,88.47674
"spojit",138,88.47674
"pořizovat",136,87.19447
"zvýšit",136,87.19447
"složit",133,85.27106
"působit",130,83.34765
"spravovat",130,83.34765
"podléhat",129,82.70652
"posoudit",129,82.70652
"uskutečňovat",128,82.06538
"svolat",127,81.42424
"založit",127,81.42424
"zakládat",127,81.42424
"vzdát",125,80.14197
"stanout",125,80.14197
"účastnit",125,80.14197
"zapisovat",125,80.14197
"přihlásit",125,80.14197
"zavázat",124,79.50084
"dostavit",123,78.85970
"odevzdat",122,78.21857
"zúčastnit",121,77.57743
"upravit",120,76.93629
"hledět",119,76.29516
"umožňovat",119,76.29516
"stávat",117,75.01289
"svěřit",117,75.01289
"zajišťovat",117,75.01289
"přesáhnout",116,74.37175
"přijímat",115,73.73062
"podepsat",114,73.08948
"osvobodit",114,73.08948
"přejít",113,72.44834
"volit",113,72.44834
"schvalovat",112,71.80721
"odložit",111,71.16607
"prodat",111,71.16607
"končit",111,71.16607
"využít",110,70.52494
"provozovat",109,69.88380
"sjednat",107,68.60153
"odeslat",106,67.96039
"seznámit",106,67.96039
"zemřít",106,67.96039
"přidělit",106,67.96039
"oznamovat",105,67.31926
"vypovědět",105,67.31926
"doplnit",105,67.31926
"zahrnout",104,66.67812
"zprostit",104,66.67812
"upustit",103,66.03699
"směřovat",103,66.03699
"vyhradit",103,66.03699
"uznat",103,66.03699
"vyhotovit",102,65.39585
"rozdělit",102,65.39585
"vyžádat",101,64.75471
"postoupit",100,64.11358
"ukončit",100,64.11358
"zdržovat",100,64.11358
"započítávat",99,63.47244
"využívat",99,63.47244
"ručit",99,63.47244
"přesahovat",98,62.83131
"vylučovat",98,62.83131
"určovat",96,61.54904
"souviset",96,61.54904
"vymezit",96,61.54904
"přezkoumat",96,61.54904
"předcházet",96,61.54904
"osvědčit",95,60.90790
"dotknout",94,60.26676
"odporovat",93,59.62563
"nahlížet",93,59.62563
"snižovat",93,59.62563
"prokazovat",91,58.34336
"používat",91,58.34336
"vyhovit",91,58.34336
"hodlat",89,57.06108
"zařadit",89,57.06108
"vystavit",89,57.06108
"odůvodňovat",88,56.41995
"připouštět",88,56.41995
"předpokládat",87,55.77881
"dovolat",87,55.77881
"rušit",87,55.77881
"převyšovat",86,55.13768
"vycházet",86,55.13768
"odepřít",86,55.13768
"shledat",85,54.49654
"zakázat",84,53.85541
"vyhlásit",84,53.85541
"spočívat",83,53.21427
"poškodit",83,53.21427
"zasahovat",82,52.57313
"postačit",82,52.57313
"přestat",81,51.93200
"přistoupit",80,51.29086
"vyjít",80,51.29086
"uvádět",80,51.29086
"překročit",80,51.29086
"zvyšovat",80,51.29086
"vyslechnout",80,51.29086
"prominout",79,50.64973
"projednávat",78,50.00859
"narušit",78,50.00859
"vynaložit",78,50.00859
"vyznačit",77,49.36746
"předkládat",76,48.72632
"vyhovět",75,48.08518
"zůstávat",75,48.08518
"žít",75,48.08518
"nést",75,48.08518
"probíhat",75,48.08518
"navrhovat",74,47.44405
"pečovat",73,46.80291
"zakazovat",72,46.16178
"zničit",72,46.16178
"připadnout",71,45.52064
"zachovat",71,45.52064
"pominout",71,45.52064
"zřizovat",71,45.52064
"projevit",70,44.87950
"ovlivnit",70,44.87950
"zabránit",69,44.23837
"přispět",69,44.23837
"dbát",68,43.59723
"počínat",68,43.59723
"narodit",68,43.59723
"evidovat",67,42.95610
"odvolávat",67,42.95610
"umístit",66,42.31496
"připadat",66,42.31496
"započíst",65,41.67383
"dodat",65,41.67383
"nařizovat",64,41.03269
"usnést",64,41.03269
"kontrolovat",64,41.03269
"nastávat",64,41.03269
"zdržet",63,40.39155
"ohrožovat",63,40.39155
"opustit",63,40.39155
"odečíst",63,40.39155
"vstoupit",62,39.75042
"zjednat",62,39.75042
"znát",62,39.75042
"zadat",61,39.10928
"pozbývat",61,39.10928
"přežít",61,39.10928
"nahrazovat",61,39.10928
"zastoupit",60,38.46815
"podařit",60,38.46815
"nabídnout",60,38.46815
