"corpus","user/arcady/selected_czech_statutes___2020_3"
"subcorpus","-"
Item,Frequency
"a",33817
"nebo",27989
"v",23423
"o",20408
"na",19674
"se",19091
"je",13267
"podle",11832
"k",11669
"pro",8430
"s",7888
"z",7392
"do",7324
"řízení",6956
"za",6845
"ve",6641
"rozhodnutí",6046
"že",5358
"odst",4986
"jeho",4986
"které",4430
"může",4349
"při",4313
"i",4075
"pokud",4051
"soud",3992
"který",3976
"daně",3931
"b",3863
"to",3840
"má",3586
"po",3570
"být",3431
"není",3084
"zákona",3078
"právo",2940
"odstavce",2907
"která",2767
"c",2738
"ustanovení",2699
"osoby",2698
"od",2638
"území",2539
"věci",2521
"u",2510
"jsou",2472
"právní",2442
"až",2421
"tohoto",2401
"soudu",2358
"jen",2329
"osoba",2325
"ze",2253
"práva",2251
"jestliže",2228
"správce",2113
"byl",2110
"jako",2081
"bez",2070
"plnění",2070
"návrh",2037
"jejich",2029
"společnosti",2004
"písm",2003
"bylo",1989
"pobytu",1986
"jiného",1953
"lze",1930
"zákon",1911
"č",1847
"d",1839
"aby",1763
"musí",1750
"výkonu",1748
"případě",1744
"dne",1730
"jednání",1727
"než",1716
"ke",1707
"smlouvy",1703
"před",1659
"české",1630
"proti",1615
"sb.",1589
"kdo",1587
"byla",1560
"majetku",1559
"orgán",1552
"státu",1547
"orgánu",1538
"povinen",1536
"činnosti",1530
"dnů",1520
"jinak",1515
"bude",1512
"povolení",1510
"návrhu",1494
"dobu",1492
"jiné",1484
"kdy",1460
"republiky",1400
"povinnosti",1399
"mu",1383
"popřípadě",1352
"právního",1316
"osob",1312
"povinnost",1305
"anebo",1295
"dále",1282
"let",1272
"vydání",1264
"odstavci",1263
"základě",1260
"jde",1256
"veřejné",1242
"věc",1233
"e",1230
"stanoví",1227
"usnesení",1214
"podání",1213
"evropské",1209
"údaje",1205
"jehož",1200
"ode",1190
"předpisů",1187
"této",1184
"nelze",1180
"zástupce",1170
"rozsahu",1167
"kterou",1158
"způsobem",1151
"výši",1133
"obchodní",1131
"obdobně",1130
"moci",1124
"opatření",1124
"by",1123
"svobody",1087
"období",1085
"její",1082
"insolvenční",1078
"unie",1075
"pohledávky",1071
"úřad",1057
"správní",1041
"zajištění",1040
"výkon",1037
"rejstříku",1035
"podmínky",1033
"žádost",1012
"však",1011
"tento",1010
"tím",1007
"tak",1004
"platí",1000
"znění",998
"práv",995
"obce",989
"lhůtě",988
"pouze",982
"žádosti",965
"osobě",964
"předpisu",957
"své",955
"tom",949
"zboží",942
"účelem",922
"době",921
"doby",914
"úřadu",894
"stavby",882
"pracovní",882
"cizince",881
"f",874
"zrušení",872
"uvedené",871
"části",870
"také",854
"trestu",853
"účely",852
"výše",848
"čin",848
"zvláštního",835
"státní",831
"den",828
"právnické",824
"zvláštní",813
"práce",811
"služby",806
"změně",803
"zadavatel",802
"zákonem",802
"kterým",800
"další",799
"potrestán",794
"podat",793
"prohlášení",792
"jiných",788
"zda",787
"část",786
"náklady",778
"včetně",774
"měsíců",770
"insolvenčního",770
"jiný",769
"osobou",768
"odvolání",768
"tomu",768
"rozdělení",767
"senátu",766
"podmínek",761
"zejména",757
"oznámení",755
"obchodního",752
"společnost",750
"rozhodne",750
"dnem",743
"mohou",740
"uvedených",740
"ani",736
"cizinec",736
"stanovené",735
"ministerstvo",733
"provedení",732
"odnětím",731
"tato",729
"zahájení",729
"místo",728
"zařízení",716
"jmění",705
"rady",702
"mají",701
"více",701
"těchto",696
"nesmí",690
"tyto",690
"si",688
"mezi",687
"zápis",685
"územního",678
"činnost",677
"vůči",677
"majetek",672
"předseda",670
"pozdějších",665
"příjmů",665
"souhlas",655
"lhůty",652
"doklad",648
"stavební",647
"správního",646
"důvodu",645
"nejpozději",642
"zápisu",640
"ji",635
"též",635
"nejsou",633
"co",633
"daňové",633
"právních",632
"odkladu",631
"osobu",627
"rozhodnutím",624
"třeba",624
"již",620
"takové",620
"g",617
"oprávnění",615
"neplatí",615
"byly",615
"nemá",615
"považuje",613
"ochrany",611
"němž",609
"ledaže",604
"nákladů",602
"nejméně",601
"plátce",601
"jiným",598
"díl",598
"daň",597
"zaměstnance",596
"nařízení",594
"korporace",593
"kterém",593
"údajů",591
"použije",590
"zaměstnanci",585
"kapitálu",584
"rozumí",583
"skutečnosti",583
"právním",581
"pojištění",579
"dni",577
"doručení",577
"členského",575
"splnění",574
"všech",574
"alespoň",568
"seznamu",566
"smlouva",566
"ten",563
"dlužník",562
"zdraví",560
"dlužníka",560
"či",560
"věcí",557
"jej",555
"změny",555
"funkce",555
"výjimkou",555
"příslušný",553
"nástupnické",551
"zbytečného",551
"trestního",550
"určení",547
"důvodů",546
"zaměstnanců",543
"základního",539
"činem",536
"toto",535
"zaměstnavatel",530
"služeb",529
"nabytí",528
"pachatel",527
"soudem",526
"členů",522
"doba",519
"použijí",519
"první",517
"náhradu",517
"tímto",516
"případech",516
"platnosti",515
"tehdy",512
"informace",512
"jejichž",511
"uvede",511
"družstva",511
"nemůže",508
"věřitelů",508
"oprávněn",508
"schválení",505
"veřejného",504
"datum",502
"prospěch",501
"hodnoty",500
"postupuje",500
"lhůta",500
"takový",499
"díla",498
"jedná",498
"poskytnutí",496
"jméno",495
"člen",494
"hlava",492
"věcech",490
"plánu",488
"úřední",488
"závodu",487
"určí",487
"souvislosti",486
"místa",484
"věřitel",483
"příjmení",483
"valné",483
"došlo",482
"činu",481
"základu",480
"tuto",480
"důvody",479
"prostřednictvím",478
"příjmy",476
"stavu",476
"sídlo",476
"kteří",475
"podílu",472
"číslo",471
"nichž",470
"řádu",470
"tomto",465
"podstaty",462
"toho",462
"škodu",462
"dani",461
"dítěte",460
"pozůstalosti",458
"třetí",458
"spáchá",454
"h",453
"akcií",452
"systému",452
"orgány",450
"průběhu",450
"zrušeno",448
"rozhoduje",447
"jakož",447
"společností",447
"současně",444
"správci",443
"možné",441
"přiměřeně",439
"trest",436
"trvání",435
"zaměstnavatele",434
"působnosti",434
"oddíl",433
"podíl",432
"některých",431
"pohledávek",430
"nich",430
"rozporu",426
"uvedeným",426
"označení",426
"škody",426
"měsíce",425
"zaměstnanec",425
"účinky",424
"jejího",424
"způsob",423
"vyžaduje",422
"zadávacího",422
"kč",422
"léta",420
"souhlasu",419
"povinností",418
"správy",418
"odstavců",417
"uplatnit",417
"rok",416
"trestní",415
"uzavření",415
"práci",414
"nad",414
"předmětem",413
"právnická",410
"člena",409
"stanovených",409
"zahraniční",408
"pozemku",408
"jejím",407
"dítě",407
"ní",407
"souladu",406
"mezinárodní",406
"hromady",405
"každý",405
"částky",404
"akcie",403
"provede",402
"mzdy",402
"správním",401
"dohody",396
"fúze",396
"vykonává",396
"nestanoví",395
"společně",395
"vydá",392
"uvedený",391
"jinému",390
"orgánem",390
"jinou",389
"nárok",389
"exekuce",388
"uplynutí",387
"poplatník",387
"zvýšení",386
"osobám",386
"projednání",385
"evidence",385
"mimo",385
"dlouhodobému",383
"úpadku",383
"policie",383
"věřitele",382
"omezení",382
"účetní",382
"obviněného",382
"zákoníku",380
"oddlužení",379
"listiny",379
"jeden",378
"předpisy",378
"náležitosti",376
"postup",375
"provést",375
"majetkové",375
"ukončení",374
"obsahuje",373
"jednoho",372
"obvodu",372
"kterého",370
"usnesením",369
"všechny",369
"svého",368
"povinného",367
"schůze",367
"přímo",367
"stíhání",366
"řídí",366
"rozhodnout",366
"daňového",366
"přiznání",364
"kolektivní",364
"požadovat",364
"údaj",364
"porušení",363
"odnětí",363
"nepřihlíží",362
"základní",361
"roku",361
"vždy",360
"rámci",359
"vzdělání",358
"dokladu",357
"takového",357
"předpis",357
"prostředky",357
"společníka",355
"poté",355
"insolvenčním",354
"smlouvu",354
"účinnosti",354
"ceny",353
"přestupku",353
"stát",353
"poměru",352
"jiném",350
"níž",349
"snížení",349
"kterých",349
"přijetí",349
"skončení",348
"tomuto",348
"zakázky",348
"uložit",348
"obsahovat",346
"dalších",346
"notář",345
"orgánů",345
"nebyl",345
"kde",344
"postavení",344
"zanikající",343
"čl.",343
"způsobí",341
"trestný",341
"zákonů",340
"kterému",340
"fondu",339
"jiná",338
"veřejnou",338
"účastníků",336
"dodání",335
"lhůtu",335
"užívání",334
"pořízení",334
"obviněný",334
"státního",334
"úkony",333
"součástí",332
"bydliště",332
"zaniká",331
"trestním",331
"dojde",331
"zasedání",330
"věty",328
"výdajů",327
"písemnost",324
"podnikání",324
"společného",324
"nebylo",324
"místě",324
"posouzení",323
"účastník",323
"manželství",322
"použití",321
"způsobu",321
"účelu",320
"jejíž",320
"účastníky",320
"takovým",319
"důvod",319
"územní",316
"písemně",316
"částku",315
"mít",315
"přeměny",314
"skupiny",314
"řešení",314
"zástavní",312
"vkladu",312
"převodu",311
"oznámí",310
"manželů",310
"nemovité",309
"takovém",309
"zastavení",308
"vrácení",308
"zjištění",307
"prostředí",307
"smrti",306
"něm",305
"státě",303
"činí",303
"soudce",303
"vlastní",302
"zániku",301
"stanovení",301
"souhlasem",300
"přeměně",300
"poskytování",300
"daní",299
"náleží",298
"zúčastněné",298
"újmu",297
"vztahu",297
"rozhodování",297
"potvrzení",297
"komise",296
"zvláštních",296
"odpočet",295
"náhrady",295
"pobyt",295
"oboru",294
"příslušného",294
"vzniku",293
"počet",293
"provádění",292
"osobní",292
"daňový",292
"uplynutím",292
"zaměstnání",292
"nebezpečí",291
"víza",289
"svých",289
"prostředků",289
"pojistné",287
"písemnosti",286
"společník",286
"projektu",286
"účet",286
"tři",285
"odborné",285
"vede",284
"rovněž",284
"péče",284
"poplatníka",283
"narození",283
"států",283
"doručí",283
"společné",282
"jež",282
"zruší",281
"sebe",281
"uspokojení",280
"předpisem",279
"přísluší",279
"udělení",279
"provozování",279
"trestného",279
"jí",278
"nové",278
"činností",278
"komory",278
"správě",277
"náhrada",277
"ústavní",277
"exekutor",276
"vyšší",276
"karty",275
"pracovních",275
"cizinci",275
"účasti",274
"veřejných",273
"nebyla",273
"pohledávku",273
"úkonu",273
"skutečnost",272
"potřebné",271
"přestupek",270
"předmět",270
"povolání",269
"příjem",269
"rozvoje",269
"es",267
"stanovy",266
"technické",266
"protokolu",266
"právnickou",265
"účastníci",265
"předmětu",265
"zastupitelstva",265
"delší",264
"přeshraniční",264
"důsledku",264
"finanční",264
"evidenci",263
"jak",263
"nejvyšší",263
"rozsudku",262
"zúčastněných",262
"povinný",262
"obsahu",262
"mohl",261
"vyjádření",261
"výdaje",261
"stupně",261
"prvního",261
"zájmu",261
"týká",261
"změnu",261
"účast",260
"směrnice",260
"účtu",260
"vydat",260
"vlastnictví",260
"vlastník",260
"sám",260
"fyzická",259
"určené",259
"dosud",259
"členem",258
"cena",258
"účastníka",258
"prací",258
"trvalému",257
"něhož",257
"trhu",257
"ho",257
"fyzické",257
"postupu",256
"stížnost",256
"obsah",256
"nepoužije",255
"formu",255
"strany",255
"ostatních",255
"prokáže",254
"režimu",254
"povahy",254
"případně",254
"dříve",253
"osvědčení",253
"sídla",252
"exekuční",252
"doklady",252
"neprodleně",251
"vyrozumí",251
"jména",250
"pohledávka",249
"evropského",249
"písemné",249
"okolnosti",249
"hodnota",249
"poslední",248
"příkaz",248
"prostor",247
"zadávací",247
"stanoveno",247
"jím",247
"občana",246
"smlouvou",245
"týkající",245
"stavebního",245
"ochranu",245
"učinit",245
"požadavky",245
"ochraně",244
"oblasti",244
"vyloučení",244
"příslušnému",244
"upravujícího",243
"poskytnout",243
"vykonávat",243
"tuzemsku",243
"vyhotovení",243
"obec",243
"listin",242
"provádí",242
"republice",242
"vztahuje",242
"zahraničí",242
"prodlení",242
"občanského",242
"zájem",241
"uplatnění",241
"měl",240
"rozhodnuto",240
"když",239
"pracovního",239
"záznam",239
"přitom",239
"vzhledem",239
"j",238
"dvě",238
"odpovídá",238
"zdaňovací",237
"dílo",237
"notáře",237
"druhu",236
"spolu",236
"újmy",235
"vyhoštění",235
"rozsah",235
"druhé",235
"právnických",235
"příslušné",235
"účel",234
"dokumentace",234
"spojené",234
"veřejném",233
"pořadí",233
"členy",233
"budou",232
"vyzve",232
"spisu",232
"zvláštním",232
"likvidační",231
"cestovní",231
"ostatní",231
"dokumentaci",231
"převzetí",230
"úkon",230
"příkazu",230
"zjistí",230
"organizace",230
"obchodních",229
"zástupci",229
"zákazu",229
"zprávy",229
"soudního",228
"právem",228
"poskytne",228
"bezpečnosti",227
"předložit",227
"obcí",227
"zástavního",226
"uložení",226
"navrhovatel",226
"statutárního",226
"ministerstvem",226
"požádá",226
"úschovy",225
"znalce",225
"stav",224
"adresu",224
"uvedeného",224
"informací",224
"řádně",224
"poměry",223
"počtu",223
"smlouvě",223
"pod",223
"odměny",223
"elektronické",223
"cenných",222
"cenu",222
"účastníkem",222
"jednotlivých",221
"podává",221
"rozhodl",221
"pět",221
"roky",221
"kvalifikace",221
"částka",220
"katastru",220
"insolvenčnímu",220
"svým",220
"kontrolní",219
"územně",219
"formy",219
"osobami",219
"právu",219
"užití",218
"identifikační",218
"ručením",218
"členských",217
"nezbytné",217
"jaké",217
"způsobilost",217
"učiní",217
"něco",216
"změna",216
"podobě",216
"nájemce",216
"průkazu",216
"fúzi",216
"prostředku",215
"výboru",215
"určit",215
"odstranění",215
"dědictví",215
"organizační",215
"rodné",214
"nabídek",214
"vízum",214
"jímž",213
"zprávu",213
"zisku",212
"podnikatel",211
"pododdíl",210
"papírů",210
"vznikla",210
"trestné",210
"správu",210
"jim",210
"omezeným",209
"praxe",209
"svou",209
"námitky",209
"uloží",208
"vlivů",208
"veřejnoprávní",208
"správcem",208
"výkonem",207
"záměru",207
"poměr",207
"němu",207
"sobě",207
"včas",206
"svůj",206
"opatrovníka",206
"přístup",206
"důkazy",205
"ministerstvu",204
"nebude",204
"stanovit",204
"vedení",204
"vydáno",204
"kalendářního",204
"jménem",204
"bytu",204
"právními",203
"podán",203
"společenství",203
"zdravotní",202
"členském",202
"odpovídající",202
"účetnictví",202
"podílů",202
"staveb",202
"proto",202
"doručuje",202
"sdělí",201
"formě",201
"nejde",201
"nároku",201
"zcela",201
"nájmu",201
"případ",201
"spolku",200
"přiměřené",200
"exekutora",200
"účinek",199
"družstvo",199
"oprávněné",199
"použít",198
"příslušnost",198
"prvním",197
"dluhu",197
"takto",197
"dluh",196
"členové",196
"rodiny",196
"vydal",195
"soudní",195
"adresa",194
"nejvyššího",194
"manžela",194
"veřejný",194
"rada",194
"osvojení",193
"ohrožení",193
"předloží",193
"doplnění",193
"předem",193
"společníků",192
"živnosti",192
"obecně",192
"povinna",192
"zůstavitele",192
"odměnu",192
"domáhat",192
"korporaci",191
"papíry",191
"zpět",191
"jednat",191
"prodloužení",191
"oprávněný",190
"splněny",189
"ním",189
"konkursu",189
"přípravném",189
"hodnotu",189
"samostatně",189
"přípustné",189
"úkonů",189
"vypořádání",188
"uvedením",188
"plátcem",187
"zákaz",187
"stejné",187
"konání",187
"soutěže",186
"ocenění",186
"vlastních",186
"členství",186
"název",186
"dozorčí",185
"zůstavitel",185
"zvlášť",185
"záznamu",185
"účastníkům",185
"věřiteli",185
"životní",185
"parlamentu",184
"projekt",184
"nahradit",184
"nadace",184
"spáchání",184
"neplatnosti",184
"subjektu",183
"některé",183
"péči",183
"zároveň",183
"pachatele",182
"listina",182
"zájmy",182
"stanovisko",182
"nebyly",181
"uvedenou",181
"vstupu",181
"sazby",180
"hodin",180
"odpovědnosti",180
"spojených",179
"předběžné",179
"obohacení",179
"provozu",178
"zpracování",178
"přerušení",178
"uvedená",178
"obhájce",178
"samostatné",178
"základ",178
"výslechu",177
"ujednání",177
"odmítne",177
"seznam",177
"výslovně",176
"zákazem",176
"zastoupení",176
"jakém",175
"doručování",175
"strana",175
"dlužníku",175
"vzniká",175
"něj",175
"soupisu",175
"související",175
"dosažení",175
"vrátí",175
"notářské",175
"pojistného",174
"nástupnická",174
"kromě",174
"nahradí",174
"okolností",174
"cestovního",174
"nařídí",174
"poškozeného",174
"vlastníka",174
"zajistit",173
"němuž",173
"vlastnické",173
"spojení",173
"rozdíl",173
"nejvýše",173
"členské",173
"skutečností",173
"okamžiku",173
"policejní",173
"rodinného",173
"platnost",173
"zahájením",173
"změnit",172
"všem",172
"m",172
"vycestování",171
"osvobození",171
"odvolací",171
"místní",171
"závazku",171
"odkladný",171
"uveřejnění",171
"zájmů",171
"stanoviska",170
"postupem",170
"šest",170
"poskytuje",169
"zastaví",169
"přidané",169
"nového",169
"stran",169
"náhradní",169
"podal",168
"právech",168
"cizí",168
"příjmu",168
"hlasování",167
"plán",167
"ještě",167
"hlasů",167
"rozdělované",167
"papír",167
"dvou",167
"podá",167
"trvá",167
"vazby",166
"hlavní",166
"platu",166
"zdravotním",166
"l",166
"opravy",166
"programu",166
"souhlasí",166
"líčení",165
"nabývá",165
"svém",165
"protokol",165
"rozsudek",165
"úmyslu",164
"povinnému",164
"výzvu",164
"bezprostředně",164
"představenstvo",164
"aniž",164
"subjekt",164
"oprávněného",163
"veřejně",163
"dotčena",163
"manžel",163
"papíru",163
"svěřenského",162
"likvidace",162
"domu",162
"dovolání",162
"žalobce",162
"ministerstva",162
"přiznat",162
"zdaňovacím",162
"úhradu",162
"zpeněžení",162
"vedle",161
"dědic",161
"nepoužijí",161
"tu",161
"zašle",161
"působnost",161
"cenný",161
"využití",161
"pravidla",161
"zápisem",161
"pravomocně",160
"odměna",160
"družstev",160
"sociální",160
"sdělení",160
"řádem",160
"dluhy",160
"takovou",160
"jednotky",159
"něho",159
"zanikne",159
"příslušným",159
"šetření",159
"živnostenského",159
"zdaňovacího",158
"kratší",158
"mrtvého",157
"souvisejících",157
"evropský",157
"licence",157
"ale",157
"akciové",157
"úmrtí",156
"nařídit",156
"vliv",156
"jinými",156
"rozhodné",156
"občanem",156
"česká",156
"jmenuje",155
"občanství",154
"zdanitelného",154
"zahraničního",154
"dodavatele",154
"původní",154
"způsobilosti",154
"fyzických",154
"odůvodnění",154
"peněžní",153
"oprávněná",153
"svéprávnosti",153
"věku",153
"zčásti",152
"věřitelé",152
"částí",152
"předběžného",152
"přiměřenou",152
"uzavřena",152
"úplaty",151
"rodiče",151
"náhradě",151
"zahájeno",151
"jejímž",150
"ujednáno",150
"osm",150
"nabyl",150
"návrhem",150
"ústavního",150
"dotčených",150
"úpravy",150
"nižší",150
"obecná",149
"stupni",149
"schůzi",149
"kalendářní",149
"zveřejnění",149
"oznámit",149
"ústavu",148
"vyplývající",148
"příjemce",148
"zpravidla",148
"žadatel",148
"straně",148
"závěti",148
"poučení",148
"sídlem",148
"odpovědnost",148
"vůli",148
"velkého",147
"obchodním",147
"organizované",147
"vině",147
"dosavadní",147
"výroku",147
"zajistí",146
"krajský",146
"neplatné",146
"požádání",146
"zdrojů",146
"některého",146
"hmotného",146
"nejdéle",146
"uvést",146
"ubytování",145
"družstvu",145
"sloučením",145
"exekuci",145
"úřadem",144
"konce",144
"potřeby",144
"nevztahuje",144
"žalobu",144
"uveden",143
"přihlédne",143
"žalobě",143
"tří",143
"přezkoumání",143
"odpočtu",143
"nutné",143
"jakmile",143
"společníci",142
"předložení",142
"nástupce",142
"nadační",142
"člověka",142
"valnou",142
"vydaného",142
"státním",142
"života",141
"deset",141
"propadnutím",141
"řád",141
"zásad",141
"prodeje",141
"akcionáře",141
"dotčeno",140
"smluv",140
"dohoda",140
"patří",140
"komanditní",140
"požádat",140
"zadavatele",140
"přede",140
"umístění",139
"hospodářské",139
"zdanitelné",139
"umožní",139
"písemnou",139
"plánovací",139
"téže",138
"vlastníků",138
"pokutu",138
"měsíc",138
"výrok",137
"nabídky",137
"komora",137
"opis",137
"roce",137
"dodatečné",137
"možnost",137
"národní",137
"druhá",137
"každého",137
"předá",136
"některý",136
"zařízením",136
"zpráva",136
"zkušební",136
"tvrzení",136
"dalšího",136
"státních",136
"jedné",136
"všichni",136
"majetkových",136
"rozvoj",135
"vyhláškou",135
"funkci",135
"povaze",135
"zúčastněná",135
"životního",135
"trestným",135
"odmítnutí",135
"tvoří",134
"jednotlivé",134
"závazné",134
"výdělku",134
"zánik",134
"notářský",134
"zákoně",134
"například",134
"regulačního",134
"mění",134
"téhož",133
"nevyžaduje",133
"vznikne",133
"posudku",133
"kvalifikaci",133
"dohodu",133
"daňová",133
"vydán",133
"exekučního",133
"kapitál",133
"dražbě",133
"uzavřít",132
"nemovitostí",132
"podána",132
"později",132
"obsahem",132
"majetkovou",132
"případu",132
"daňovým",132
"rodičů",132
"zákonu",132
"příslušnosti",132
"nakládání",132
"vůle",132
"uskutečnění",132
"spoluvlastnictví",131
"cenného",131
"bezdůvodného",131
"stavba",131
"ohledně",131
"obecné",131
"zástupcem",131
"zaměstnavatelem",131
"prokázat",131
"plněním",131
"zaplacení",131
"živnostenský",131
"uplatní",131
"zřízení",131
"vnitřní",131
"odstavec",130
"vlastnického",130
"bezodkladně",130
"osobních",130
"zakázek",130
"prodejem",130
"závažným",130
"obviněnému",130
"přípustná",129
"úkolů",129
"zadávacím",129
"určitou",129
"během",129
"bezpečnost",129
"stanovenou",129
"závazek",128
"vydané",128
"podnikatele",128
"smluvní",128
"domácnosti",128
"pobývá",128
"nejdříve",128
"převod",128
"obsahující",128
"zjistit",128
"pokuty",128
"odvolat",128
"ochranné",127
"dražební",127
"odsouzený",127
"prostředek",127
"daňovém",127
"pracovním",127
"výsledku",127
"trestem",127
"ochrana",127
"nájem",127
"opatrovník",126
"podpis",126
"místem",126
"vyúčtování",126
"hospodaření",126
"cenné",126
"pokračuje",125
"komu",125
"režim",125
"dokazování",125
"stejně",125
"vydává",125
"nedbalosti",125
"získá",125
"druh",125
"odstoupit",124
"dalším",124
"společenská",124
"stavebním",124
"stížnosti",124
"dítěti",124
"užije",124
"stavbu",124
"hradí",124
"senát",124
"společníkem",124
"výbor",124
"korporací",124
"kontroly",124
"hospodářský",124
"totožnost",124
"písmene",123
"povinné",123
"listinu",123
"vyrozumění",123
"pravomoci",123
"úhradě",123
"rukou",123
"vázán",123
"prohlášením",123
"oprávněna",123
"podmínkách",123
"mlčenlivosti",123
"návrhy",123
"dlužníkovi",123
"státem",123
"zabezpečení",122
"místně",122
"promlčecí",122
"výzkumu",122
"postižením",122
"katastrální",122
"osobně",122
"reorganizačního",122
"vysvětlení",121
"hromada",121
"dražby",121
"vzniklé",121
"doručeno",121
"valná",121
"dotčené",121
"nebrání",121
"změnou",121
"prokázání",121
"akcionář",121
"představenstva",121
"desce",121
"poplatníkem",120
"zveřejní",120
"informaci",120
"plnit",120
"jejích",120
"údaji",120
"vznik",120
"výpověď",120
"dokud",120
"notářského",120
"fond",120
"zrušit",120
"pozemků",119
"plné",119
"uvedení",119
"vady",119
"kalendářním",119
"poučí",119
"shromáždění",119
"vstupní",119
"společném",119
"nakládat",119
"něž",119
"pojistitel",119
"vyhlášení",119
"závěrky",118
"dokladů",118
"děl",118
"úředně",118
"vyhodnocení",118
"oprávněnému",118
"hodnocení",118
"živnost",118
"taková",118
"neoprávněně",118
"učinil",118
"jednáním",118
"totožnosti",118
"pronajímatel",117
"zamítne",117
"cizině",117
"okolnostem",117
"vklad",117
"zavazuje",117
"podklady",117
"vnitra",117
"zapíše",117
"závod",117
"poškozený",117
"odpisování",117
"stanoveným",117
"splňuje",116
"určité",116
"následky",116
"jemuž",116
"žaloba",116
"správnímu",116
"možnosti",116
"vydáním",116
"trestů",116
"dozvěděl",116
"informačního",116
"kupní",116
"předání",115
"reorganizace",115
"získat",115
"odsouzeného",115
"delegátů",115
"zakázku",115
"ně",115
"posudek",115
"ohledem",115
"stanov",115
"dlužníkem",114
"vkladů",114
"zahraničních",114
"soudů",114
"plátci",114
"propuštění",114
"zabezpečovací",114
"zařazení",114
"městské",114
"kterými",114
"povinni",113
"vlády",113
"výpis",113
"upravuje",113
"obecní",113
"informuje",113
"orgánům",113
"léčení",113
"prodeji",113
"prodej",112
"řádné",112
"pokračovat",112
"výzvě",112
"jejímu",112
"peněz",112
"povinná",112
"nerozdílně",112
"veřejná",112
"znovu",112
"zastupitelstvo",112
"veřejnosti",112
"zřejmé",111
"poruší",111
"možno",111
"zadání",111
"každé",111
"cizinců",111
"jmenování",111
"nezletilého",111
"úplatu",111
"hranice",110
"dědice",110
"ohlášení",110
"příslušníka",110
"města",110
"dovolené",110
"českou",110
"daňovou",110
"kárné",110
"zahájit",110
"poškození",110
"dat",110
"movité",110
"dětí",110
"výpovědi",110
"svědka",110
"finančního",109
"uhradit",109
"hledí",109
"mládeže",109
"výsledek",109
"akreditovaným",109
"plní",109
"dlouhodobého",109
"dálkový",109
"opravu",109
"rozhodující",108
"ni",108
"přechází",108
"vlivu",108
"následujícího",108
"pořizovatel",108
"ověření",108
"držitel",108
"stanovená",108
"územním",108
"dědici",108
"přemístění",108
"jedna",108
"odstoupení",108
"popis",108
"bydlení",108
"některá",108
"výzvy",107
"příspěvek",107
"kupující",107
"kontrole",107
"platební",107
"notáři",107
"žádá",107
"podáním",107
"přiděleno",107
"prováděcí",107
"vyplývajících",107
"příslušenství",107
"koná",106
"slevu",106
"vlastního",106
"žaloby",106
"závislé",106
"nesplní",106
"úhrady",106
"pomoci",106
"hotových",106
"společná",106
"styku",106
"nachází",106
"uznání",105
"posuzuje",105
"doručit",105
"uskutečňuje",105
"majetkem",105
"plynoucí",105
"státnímu",105
"zaměstnavateli",105
"ztrátu",105
"běžet",105
"prodloužit",105
"dochází",104
"odeslání",104
"důvodné",104
"převodem",104
"uplatňuje",104
"rozpočtu",104
"podané",104
"obdobné",104
"zvláštními",104
"rámcové",104
"uložena",104
"opakovaně",104
"končí",104
"záležitosti",104
"smrt",104
"jakým",104
"posuzování",103
"žadatele",103
"opatřením",103
"vést",103
"podíly",103
"někdo",103
"změní",103
"policii",103
"ukládá",102
"listinou",102
"trvalého",102
"oprávněných",102
"přílohy",102
"hlavního",102
"eu",102
"vysílání",102
"zálohy",102
"rozdílu",102
"zákonný",102
"peněžité",101
"náležitostí",101
"správou",101
"cizího",101
"fyzickou",101
"navrhovatele",101
"věcně",101
"dohodě",101
"žádný",101
"příprava",101
"nemohl",101
"investiční",101
"nových",101
"nimi",101
"datové",101
"občan",100
"nařízením",100
"neplatnost",100
"umožňujícím",100
"stavebních",100
"průkaz",100
"dodavatelů",100
"hrozí",100
"pověření",100
"vývoje",100
"podstatné",99
"povaha",99
"příslušnou",99
"byt",99
"odstavcích",99
"vyžadují",99
"třetích",99
"soudním",99
"samé",99
"vznikly",99
"skupině",99
"technických",99
"podstatou",99
"dodavatel",98
"týkajících",98
"hromadu",98
"nemusí",98
"odvolacího",98
"placení",98
"kulturní",98
"ztráty",98
"předsedy",98
"pokračování",98
"té",98
"obyvatel",98
"hlavním",98
"rozsudkem",98
"daňových",98
"spáchán",97
"trestných",97
"volby",97
"život",97
"hlášení",97
"navrhnout",97
"plně",97
"správa",97
"dodatečně",97
"podmíněně",97
"zaměstnancem",97
"vztahů",97
"hlediska",97
"součinnost",97
